EntityA,EntityB,Relation
Alpine Berry,Angiosperms,belongs to
Alpine Berry,Dicotyledons,belongs to
Alpine Berry,Plantae,belongs to
Alpine Berry,Rosaceae,belongs to
Alpine Berry,Rosales,belongs to
Alpine Berry,Rubus,belongs to
Alpinia oxyphylla,Alpinia,belongs to
Alpinia oxyphylla,Alpinia oxyphylla,belongs to
Alpinia oxyphylla,Angiosperms,belongs to
Alpinia oxyphylla,Monocotyledon,belongs to
Alpinia oxyphylla,Plantae,belongs to
Alpinia oxyphylla,Zingiberaceae,belongs to
Alpinia oxyphylla,Zingiberales,belongs to
Altai Wapiti,Altai Wapiti,belongs to
Altai Wapiti,Animalia,belongs to
Altai Wapiti,Artiodactyla,belongs to
Altai Wapiti,Cervidae,belongs to
Altai Wapiti,Cervus,belongs to
Altai Wapiti,Chordata,belongs to
Altai Wapiti,Mammalia,belongs to
Amaranth,Amaranthaceae,belongs to
Amaranth,Amaranthus,belongs to
Amaranth,Angiosperms,belongs to
Amaranth,Caryophyllales,belongs to
Amaranth,Magnoliopsida,belongs to
Amaranth,Plantae,belongs to
American Ginseng,Angiosperms,belongs to
American Ginseng,Apiales,belongs to
American Ginseng,Araliaceae,belongs to
American Ginseng,Dicotyledons,belongs to
American Ginseng,Panax,belongs to
American Ginseng,Panax quinquefolius,belongs to
American Ginseng,Plantae,belongs to
American Walnut,American Walnut,belongs to
American Walnut,Angiosperms,belongs to
American Walnut,Juglandaceae,belongs to
American Walnut,Juglandales,belongs to
American Walnut,Juglans,belongs to
American Walnut,Magnoliopsida,belongs to
American Walnut,Plantae,belongs to
Amomum,Amomum,belongs to
Amomum,Angiosperms,belongs to
Amomum,Magnoliopsida,belongs to
Amomum,Plantae,belongs to
Amomum,Zingiberaceae,belongs to
Amomum,Zingiberales,belongs to
Amomum tsao-ko,Amomum,belongs to
Amomum tsao-ko,Amomum tsao-ko,belongs to
Amomum tsao-ko,Angiosperms,belongs to
Amomum tsao-ko,Magnoliopsida,belongs to
Amomum tsao-ko,Plantae,belongs to
Amomum tsao-ko,Zingiberaceae,belongs to
Amomum tsao-ko,Zingiberales,belongs to
Amur sturgeon,Acipenser,belongs to
Amur sturgeon,Acipenseridae,belongs to
Amur sturgeon,Acipenseriformes,belongs to
Amur sturgeon,Amur sturgeon,belongs to
Amur sturgeon,Animalia,belongs to
Amur sturgeon,Chordata,belongs to
Amur sturgeon,Osteichthyes,belongs to
Andean Walnut,Andean Walnut,belongs to
Andean Walnut,Angiosperms,belongs to
Andean Walnut,Dicotyledons,belongs to
Andean Walnut,Juglandaceae,belongs to
Andean Walnut,Juglandales,belongs to
Andean Walnut,Juglans,belongs to
Andean Walnut,Plantae,belongs to
Anemarrhena,Anemarrhena,belongs to
Anemarrhena,Angiosperms,belongs to
Anemarrhena,Asparagaceae,belongs to
Anemarrhena,Asparagales,belongs to
Anemarrhena,Magnoliopsida,belongs to
Anemarrhena,Plantae,belongs to
Angelica,Angelica,belongs to
Angelica,Angiosperms,belongs to
Angelica,Apiaceae,belongs to
Angelica,Apiales,belongs to
Angelica,Dicotyledons,belongs to
Angelica,Plantae,belongs to
Angelica dahurica,Angelica,belongs to
Angelica dahurica,Angelica dahurica,belongs to
Angelica dahurica,Apiaceae,belongs to
Angelica dahurica,Apiales,belongs to
Angelica dahurica,Plantae,belongs to
Angelica dahurica,Tracheophyta,belongs to
Angelica sinensis,Angelica,belongs to
Angelica sinensis,Angelica sinensis,belongs to
Angelica sinensis,Angiosperms,belongs to
Angelica sinensis,Apiaceae,belongs to
Angelica sinensis,Apiales,belongs to
Angelica sinensis,Dicotyledons,belongs to
Angelica sinensis,Magnoliopsida,belongs to
Angelica sinensis,Plantae,belongs to
Anredera cordifolia,Angiosperms,belongs to
Anredera cordifolia,Anredera,belongs to
Anredera cordifolia,Anredera cordifolia,belongs to
Anredera cordifolia,Basellaceae,belongs to
Anredera cordifolia,Dicotyledons,belongs to
Anredera cordifolia,Dipsacales,belongs to
Anredera cordifolia,Plantae,belongs to
Ant,Animalia,belongs to
Ant,Ant,belongs to
Ant,Arthropoda,belongs to
Ant,Formica,belongs to
Ant,Formicidae,belongs to
Ant,Hymenoptera,belongs to
Ant,Insecta,belongs to
Antidesma montanum,Angiosperms,belongs to
Antidesma montanum,Antidesma,belongs to
Antidesma montanum,Euphorbiaceae,belongs to
Antidesma montanum,Magnoliopsida,belongs to
Antidesma montanum,Malpighiales,belongs to
Antidesma montanum,Plantae,belongs to
Apocynum venetum,Angiosperms,belongs to
Apocynum venetum,Apocynaceae,belongs to
Apocynum venetum,Apocynum,belongs to
Apocynum venetum,Apocynum venetum,belongs to
Apocynum venetum,Gentianales,belongs to
Apocynum venetum,Magnoliopsida,belongs to
Apocynum venetum,Plantae,belongs to
Apple Juice,Angiosperms,belongs to
Apple Juice,Apple,belongs to
Apple Juice,Dicotyledons,belongs to
Apple Juice,Malus,belongs to
Apple Juice,Plantae,belongs to
Apple Juice,Rosaceae,belongs to
Apple Juice,Rosales,belongs to
Apple Pollen,Angiosperms,belongs to
Apple Pollen,Apple,belongs to
Apple Pollen,Dicotyledons,belongs to
Apple Pollen,Malus,belongs to
Apple Pollen,Plantae,belongs to
Apple Pollen,Rosaceae,belongs to
Apple Pollen,Rosales,belongs to
Apricot Pollen,Angiosperms,belongs to
Apricot Pollen,Apricot,belongs to
Apricot Pollen,Dicotyledons,belongs to
Apricot Pollen,Plantae,belongs to
Apricot Pollen,Rosaceae,belongs to
Apricot Pollen,Rosales,belongs to
Arisaema,Alismatales,belongs to
Arisaema,Araceae,belongs to
Arisaema,Arisaema,belongs to
Arisaema,Magnoliopsida,belongs to
Arisaema,Plantae,belongs to
Arisaema,Tracheophyta,belongs to
Aristolochia,Angiosperms,belongs to
Aristolochia,Aristolochia debilis,belongs to
Aristolochia,Fibraurea,belongs to
Aristolochia,Magnoliopsida,belongs to
Aristolochia,Menispermaceae,belongs to
Aristolochia,Plantae,belongs to
Aristolochia,Ranunculales,belongs to
Aronia Berry,Angiosperms,belongs to
Aronia Berry,Aronia Berry,belongs to
Aronia Berry,Dicotyledons,belongs to
Aronia Berry,Ericaceae,belongs to
Aronia Berry,Ericales,belongs to
Aronia Berry,Plantae,belongs to
Aronia Berry,Vaccinium,belongs to
Arrowhead,Alismataceae,belongs to
Arrowhead,Alismatales,belongs to
Arrowhead,Angiosperms,belongs to
Arrowhead,Arrowhead,belongs to
Arrowhead,Monocotyledon,belongs to
Arrowhead,Plantae,belongs to
Arrowhead,Sagittaria,belongs to
Artemisia annua,Angiosperms,belongs to
Artemisia annua,Artemisia,belongs to
Artemisia annua,Artemisia annua,belongs to
Artemisia annua,Asteraceae,belongs to
Artemisia annua,Asterales,belongs to
Artemisia annua,Magnoliopsida,belongs to
Artemisia annua,Plantae,belongs to
Artemisia anomala,Angiosperms,belongs to
Artemisia anomala,Artemisia,belongs to
Artemisia anomala,Asteraceae,belongs to
Artemisia anomala,Asterales,belongs to
Artemisia anomala,Magnoliopsida,belongs to
Artemisia anomala,Plantae,belongs to
Artemisia capillaris,Angiosperms,belongs to
Artemisia capillaris,Artemisia,belongs to
Artemisia capillaris,Artemisia capillaris,belongs to
Artemisia capillaris,Asteraceae,belongs to
Artemisia capillaris,Asterales,belongs to
Artemisia capillaris,Magnoliopsida,belongs to
Artemisia capillaris,Plantae,belongs to
Artemisia japonica,Angiosperms,belongs to
Artemisia japonica,Artemisia,belongs to
Artemisia japonica,Artemisia japonica,belongs to
Artemisia japonica,Asteraceae,belongs to
Artemisia japonica,Asterales,belongs to
Artemisia japonica,Magnoliopsida,belongs to
Artemisia japonica,Plantae,belongs to
Artemisia selengensis,Angiosperms,belongs to
Artemisia selengensis,Artemisia,belongs to
Artemisia selengensis,Asteraceae,belongs to
Artemisia selengensis,Asterales,belongs to
Artemisia selengensis,Magnoliopsida,belongs to
Artemisia selengensis,Plantae,belongs to
Artichoke,Angiosperms,belongs to
Artichoke,Asteraceae,belongs to
Artichoke,Asterales,belongs to
Artichoke,Cynara,belongs to
Artichoke,Cynara cardunculus var. scolymus,belongs to
Artichoke,Magnoliopsida,belongs to
Artichoke,Plantae,belongs to
Asian Blue Lobster,Animalia,belongs to
Asian Blue Lobster,Arthropoda,belongs to
Asian Blue Lobster,Asian Blue Lobster,belongs to
Asian Blue Lobster,Decapoda,belongs to
Asian Blue Lobster,Lobster family,belongs to
Asian Blue Lobster,Lobster genus,belongs to
Asian Blue Lobster,Malacostraca,belongs to
Asian Wild Elephant,Animalia,belongs to
Asian Wild Elephant,Asian Elephant,belongs to
Asian Wild Elephant,Chordata,belongs to
Asian Wild Elephant,Elephantidae,belongs to
Asian Wild Elephant,Elephas,belongs to
Asian Wild Elephant,Mammalia,belongs to
Asian Wild Elephant,Proboscidea,belongs to
Asian swamp eel,Actinopterygii,belongs to
Asian swamp eel,Animalia,belongs to
Asian swamp eel,Asian swamp eel,belongs to
Asian swamp eel,Chordata,belongs to
Asian swamp eel,Monopterus,belongs to
Asian swamp eel,Synbranchidae,belongs to
Asian swamp eel,Synbranchiformes,belongs to
Asparagus,Alismataceae,belongs to
Asparagus,Alismatales,belongs to
Asparagus,Angiosperms,belongs to
Asparagus,Asparagaceae,belongs to
Asparagus,Asparagales,belongs to
Asparagus,Asparagus,belongs to
Asparagus,Monocotyledon,belongs to
Asparagus,Plantae,belongs to
Asparagus cochinchinensis,Angiosperms,belongs to
Asparagus cochinchinensis,Asparagales,belongs to
Asparagus cochinchinensis,Asparagus,belongs to
Asparagus cochinchinensis,Asparagus cochinchinensis,belongs to
Asparagus cochinchinensis,Liliaceae,belongs to
Asparagus cochinchinensis,Monocotyledon,belongs to
Asparagus cochinchinensis,Plantae,belongs to
Astragalus,Astragalus,belongs to
Astragalus,Fabaceae,belongs to
Astragalus,Fabales,belongs to
Astragalus,Magnoliopsida,belongs to
Astragalus,Plantae,belongs to
Astragalus,Tracheophyta,belongs to
Atractylodes macrocephala,Angiosperms,belongs to
Atractylodes macrocephala,Asteraceae,belongs to
Atractylodes macrocephala,Asterales,belongs to
Atractylodes macrocephala,Atractylodes macrocephala,belongs to
Atractylodes macrocephala,Magnoliopsida,belongs to
Atractylodes macrocephala,Plantae,belongs to
Atyopsis spinipes,Animalia,belongs to
Atyopsis spinipes,Arthropoda,belongs to
Atyopsis spinipes,Atyidae,belongs to
Atyopsis spinipes,Atyopsis,belongs to
Atyopsis spinipes,Atyopsis spinipes,belongs to
Atyopsis spinipes,Decapoda,belongs to
Atyopsis spinipes,Malacostraca,belongs to
Avocado,Angiosperms,belongs to
Avocado,Avocado,belongs to
Avocado,Lauraceae,belongs to
Avocado,Magnoliopsida,belongs to
Avocado,Persea,belongs to
Avocado,Plantae,belongs to
Avocado,Sapindales,belongs to
Avocado Fruit,Angiosperms,belongs to
Avocado Fruit,Avocado,belongs to
Avocado Fruit,Dicotyledons,belongs to
Avocado Fruit,Lauraceae,belongs to
Avocado Fruit,Laurales,belongs to
Avocado Fruit,Plantae,belongs to
Axillary Hair Berchemia,Angiosperms,belongs to
Axillary Hair Berchemia,Axillary Hair Berchemia,belongs to
Axillary Hair Berchemia,Berchemia,belongs to
Axillary Hair Berchemia,Magnoliopsida,belongs to
Axillary Hair Berchemia,Plantae,belongs to
Axillary Hair Berchemia,Rhamnaceae,belongs to
Axillary Hair Berchemia,Rhamnales,belongs to
Azalea Fruit,Angiosperms,belongs to
Azalea Fruit,Azalea,belongs to
Azalea Fruit,Dicotyledons,belongs to
Azalea Fruit,Ericaceae,belongs to
Azalea Fruit,Ericales,belongs to
Azalea Fruit,Plantae,belongs to
Azalea Fruit,Rhododendron,belongs to
Badger,Animalia,belongs to
Badger,Carnivora,belongs to
Badger,Chordata,belongs to
Badger,Mammalia,belongs to
Badger,Meles,belongs to
Badger,Meles meles,belongs to
Badger,Mustelidae,belongs to
Bai Liang Jin,Angiosperms,belongs to
Bai Liang Jin,Ardisia,belongs to
Bai Liang Jin,Magnoliopsida,belongs to
Bai Liang Jin,Myrsinaceae,belongs to
Bai Liang Jin,Plantae,belongs to
Bai Liang Jin,Primulales,belongs to
Bailingshan Red Camellia,Angiosperms,belongs to
Bailingshan Red Camellia,Bailingshan Red Camellia,belongs to
Bailingshan Red Camellia,Camellia,belongs to
Bailingshan Red Camellia,Magnoliopsida,belongs to
Bailingshan Red Camellia,Parietales,belongs to
Bailingshan Red Camellia,Plantae,belongs to
Bailingshan Red Camellia,Theaceae,belongs to
Bald Tea,Angiosperms,belongs to
Bald Tea,Bald Tea,belongs to
Bald Tea,Camellia,belongs to
Bald Tea,Magnoliopsida,belongs to
Bald Tea,Parietales,belongs to
Bald Tea,Plantae,belongs to
Bald Tea,Theaceae,belongs to
Bald-stemmed Camellia,Angiosperms,belongs to
Bald-stemmed Camellia,Bald-stemmed Camellia,belongs to
Bald-stemmed Camellia,Camellia,belongs to
Bald-stemmed Camellia,Magnoliopsida,belongs to
Bald-stemmed Camellia,Parietales,belongs to
Bald-stemmed Camellia,Plantae,belongs to
Bald-stemmed Camellia,Theaceae,belongs to
Bamboo Leaf Beverage,Angiosperms,belongs to
Bamboo Leaf Beverage,Bambusa,belongs to
Bamboo Leaf Beverage,Monocotyledon,belongs to
Bamboo Leaf Beverage,Plantae,belongs to
Bamboo Leaf Beverage,Poaceae,belongs to
Bamboo Leaf Beverage,Poales,belongs to
Bamboo Leaf Beverage,Various bamboo species,belongs to
Bamboo Leaf Red Camellia,Angiosperms,belongs to
Bamboo Leaf Red Camellia,Bamboo Leaf Red Camellia,belongs to
Bamboo Leaf Red Camellia,Camellia,belongs to
Bamboo Leaf Red Camellia,Magnoliopsida,belongs to
Bamboo Leaf Red Camellia,Parietales,belongs to
Bamboo Leaf Red Camellia,Plantae,belongs to
Bamboo Leaf Red Camellia,Theaceae,belongs to
Bamboo Shoots,Angiosperms,belongs to
Bamboo Shoots,Bamboo Shoots,belongs to
Bamboo Shoots,Bambusoideae,belongs to
Bamboo Shoots,Monocotyledon,belongs to
Bamboo Shoots,Plantae,belongs to
Bamboo Shoots,Poaceae,belongs to
Bamboo Shoots,Poales,belongs to
Bamboo Worm,Animalia,belongs to
Bamboo Worm,Arthropoda,belongs to
Bamboo Worm,Bamboo Worm,belongs to
Bamboo Worm,Chilo,belongs to
Bamboo Worm,Insecta,belongs to
Bamboo Worm,Lepidoptera,belongs to
Bamboo Worm,Pyralidae,belongs to
Bamboo rat,Animalia,belongs to
Bamboo rat,Chordata,belongs to
Bamboo rat,Mammalia,belongs to
Bamboo rat,Rhizomyidae,belongs to
Bamboo rat,Rhizomys,belongs to
Bamboo rat,Rhizomys sinensis,belongs to
Bamboo rat,Rodentia,belongs to
Baobab leaves,Adansonia,belongs to
Baobab leaves,Adansonia digitata,belongs to
Baobab leaves,Angiosperms,belongs to
Baobab leaves,Dicotyledons,belongs to
Baobab leaves,Malvaceae,belongs to
Baobab leaves,Malvales,belongs to
Baobab leaves,Plantae,belongs to
Baobab nut,Adansonia,belongs to
Baobab nut,Adansonia digitata,belongs to
Baobab nut,Angiosperms,belongs to
Baobab nut,Magnoliopsida,belongs to
Baobab nut,Malvaceae,belongs to
Baobab nut,Malvales,belongs to
Baobab nut,Plantae,belongs to
Basil,Angiosperms,belongs to
Basil,Basil,belongs to
Basil,Lamiaceae,belongs to
Basil,Lamiales,belongs to
Basil,Magnoliopsida,belongs to
Basil,Ocimum,belongs to
Basil,Plantae,belongs to
Basil tea,Angiosperms,belongs to
Basil tea,Asterales,belongs to
Basil tea,Basil,belongs to
Basil tea,Dicotyledons,belongs to
Basil tea,Lamiaceae,belongs to
Basil tea,Ocimum,belongs to
Basil tea,Plantae,belongs to
Bay Laurel,Angiosperms,belongs to
Bay Laurel,Bay Laurel,belongs to
Bay Laurel,Lauraceae,belongs to
Bay Laurel,Laurales,belongs to
Bay Laurel,Laurus,belongs to
Bay Laurel,Magnoliopsida,belongs to
Bay Laurel,Plantae,belongs to
Beaked Walnut,Angiosperms,belongs to
Beaked Walnut,Beaked Walnut,belongs to
Beaked Walnut,Carya,belongs to
Beaked Walnut,Juglandaceae,belongs to
Beaked Walnut,Juglandales,belongs to
Beaked Walnut,Magnoliopsida,belongs to
Beaked Walnut,Plantae,belongs to
Bean Pear,Angiosperms,belongs to
Bean Pear,Bean Pear,belongs to
Bean Pear,Magnoliopsida,belongs to
Bean Pear,Plantae,belongs to
Bean Pear,Pyrus,belongs to
Bean Pear,Rosaceae,belongs to
Bean Pear,Rosales,belongs to
Bean moth larva,Animalia,belongs to
Bean moth larva,Arthropoda,belongs to
Bean moth larva,Clanis,belongs to
Bean moth larva,Clanis bilineata,belongs to
Bean moth larva,Insecta,belongs to
Bean moth larva,Lepidoptera,belongs to
Bean moth larva,Sphingidae,belongs to
Beautiful Tooth Camellia,Angiosperms,belongs to
Beautiful Tooth Camellia,Beautiful Tooth Camellia,belongs to
Beautiful Tooth Camellia,Camellia,belongs to
Beautiful Tooth Camellia,Magnoliopsida,belongs to
Beautiful Tooth Camellia,Parietales,belongs to
Beautiful Tooth Camellia,Plantae,belongs to
Beautiful Tooth Camellia,Theaceae,belongs to
Beauty pine nuts,Angiosperms,belongs to
Beauty pine nuts,Magnoliopsida,belongs to
Beauty pine nuts,Pinaceae,belongs to
Beauty pine nuts,Pinales,belongs to
Beauty pine nuts,Pinus,belongs to
Beauty pine nuts,Pinus bungeana,belongs to
Bee pollen drink,Angiosperms,belongs to
Bee pollen drink,Dicotyledons,belongs to
Bee pollen drink,Multiple families,belongs to
Bee pollen drink,Multiple genera,belongs to
Bee pollen drink,Multiple orders,belongs to
Bee pollen drink,Multiple species,belongs to
Bee pollen drink,Plantae,belongs to
Bee pupa,Animalia,belongs to
Bee pupa,Arthropoda,belongs to
Bee pupa,Hymenoptera,belongs to
Bee pupa,Insecta,belongs to
Bee pupa,Vespa,belongs to
Bee pupa,Vespidae,belongs to
Beet,Amaranthaceae,belongs to
Beet,Angiosperms,belongs to
Beet,Beet,belongs to
Beet,Beta,belongs to
Beet,Caryophyllales,belongs to
Beet,Magnoliopsida,belongs to
Beet,Plantae,belongs to
Bei Ma Dou Ling,Angiosperms,belongs to
Bei Ma Dou Ling,Aristolochia,belongs to
Bei Ma Dou Ling,Aristolochiaceae,belongs to
Bei Ma Dou Ling,Aristolochiales,belongs to
Bei Ma Dou Ling,Magnoliopsida,belongs to
Bei Ma Dou Ling,Plantae,belongs to
Belamcanda,Angiosperms,belongs to
Belamcanda,Asparagales,belongs to
Belamcanda,Belamcanda,belongs to
Belamcanda,Iridaceae,belongs to
Belamcanda,Magnoliopsida,belongs to
Belamcanda,Plantae,belongs to
Bell Calyx Camellia,Angiosperms,belongs to
Bell Calyx Camellia,Bell Calyx Camellia,belongs to
Bell Calyx Camellia,Camellia,belongs to
Bell Calyx Camellia,Magnoliopsida,belongs to
Bell Calyx Camellia,Parietales,belongs to
Bell Calyx Camellia,Plantae,belongs to
Bell Calyx Camellia,Theaceae,belongs to
Berchemia floribunda,Angiosperms,belongs to
Berchemia floribunda,Berchemia,belongs to
Berchemia floribunda,Berchemia floribunda,belongs to
Berchemia floribunda,Dicotyledons,belongs to
Berchemia floribunda,Plantae,belongs to
Berchemia floribunda,Rhamnaceae,belongs to
Berchemia floribunda,Rhamnales,belongs to
Bergamot,Angiosperms,belongs to
Bergamot,Bergamot,belongs to
Bergamot,Citrus,belongs to
Bergamot,Dicotyledons,belongs to
Bergamot,Plantae,belongs to
Bergamot,Rutaceae,belongs to
Bergamot,Sapindales,belongs to
Betel Nut,Angiosperms,belongs to
Betel Nut,Areca,belongs to
Betel Nut,Areca catechu,belongs to
Betel Nut,Arecaceae,belongs to
Betel Nut,Arecales,belongs to
Betel Nut,Magnoliopsida,belongs to
Betel Nut,Plantae,belongs to
Betel Nut Pollen,Angiosperms,belongs to
Betel Nut Pollen,Areca,belongs to
Betel Nut Pollen,Arecaceae,belongs to
Betel Nut Pollen,Arecales,belongs to
Betel Nut Pollen,Betel Nut,belongs to
Betel Nut Pollen,Monocotyledon,belongs to
Betel Nut Pollen,Plantae,belongs to
Big Blood Vine,Angiosperms,belongs to
Big Blood Vine,Lardizabalaceae,belongs to
Big Blood Vine,Magnoliopsida,belongs to
Big Blood Vine,Plantae,belongs to
Big Blood Vine,Ranunculales,belongs to
Big Blood Vine,Sargentodoxa,belongs to
Big Blood Vine,Sargentodoxa cuneata,belongs to
Big Fruit Gouercha,Angiosperms,belongs to
Big Fruit Gouercha,Berchemia,belongs to
