name,kingdom,phylum,class,order,family,genus,species,nutritional components
Fig,Plantae,Angiosperms,Magnoliopsida,Rosales,Moraceae,Ficus,Fig,"Rich in protein, dietary fiber, various vitamins, minerals, and fatty acids, especially high in calcium, magnesium, and saturated fatty acids. According to measurements, every 100 grams of dried figs contain 3.6 grams of protein, 4.3 grams of fat, 2.9 grams of ash, 13.3 grams of total dietary fiber, 0.13 mg of thiamine, 0.07 mg of riboflavin, 0.79 mg of niacin, 5.2 mg of vitamin C, 363 mg of calcium, 67 mg of phosphorus, 898 mg of potassium, 10 mg of sodium, 96 mg of magnesium, 4.5 mg of iron, and 0.8 mg of zinc."
Sea Buckthorn,Plantae,Angiosperms,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Sea Buckthorn,"Contains various vitamins, fatty acids, trace elements, linoleic acid, sea buckthorn flavonoids, superoxide, and various amino acids required by the human body."
Jasmine,Plantae,Angiosperms,Magnoliopsida,Lamiales,Oleaceae,Jasminum,Jasmine,"Contains a large number of compounds beneficial to human health, such as catechins, vitamins C and A, caffeine, flavanols, tea polyphenols, etc. Jasmine tea also contains more than 20 compounds including aromatic oils, geraniol, nerolidol, and eugenol esters."
Goji Berry,Plantae,Angiosperms,Magnoliopsida,Solanales,Solanaceae,Lycium,Goji Berry,"Contains betaine, atropine, and hyoscyamine."
Rosa Roxburghii,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Crataegus,Rosa roxburghii,"Rosa roxburghii is rich in vitamin C, superoxide dismutase (SOD), flavonoids, polyphenols, amino acids, trace elements, and other nutrients. Among them, the content of vitamin C is particularly abundant, earning it the title 'King of Vitamin C.' Additionally, Rosa roxburghii contains various minerals and dietary fiber beneficial to human health."
Roselle,Plantae,Angiosperms,Dicotyledons,Myrtales,Lythraceae,Hibiscus,Hibiscus sabdariffa,"Contains abundant organic acids, vitamin C, various amino acids, anthocyanins, flavonoids, and other compounds."
Tamarind,Plantae,Angiosperms,Dicotyledons,Rosales,Fabaceae,Tamarindus,Tamarindus indica,"Contains a large amount of organic acids, vitamins, minerals, dietary fiber, and various amino acids."
Golden Camellia,Plantae,Angiosperms,Magnoliopsida,Theales,Theaceae,Camellia,Camellia nitidissima,"Contains various amino acids, tea polyphenols, vitamins, trace elements, and more."
Rattan Tea,Plantae,Angiosperms,Dicotyledons,Lamiales,Lamiaceae,Various Rattan Tea Genera,Rattan Tea,"Contains various flavonoids, amino acids, vitamins, minerals, etc."
Perilla Leaf Tea,Plantae,Angiosperms,Dicotyledons,Lamiales,Lamiaceae,Perilla,Perilla,"Contains volatile oils such as α-linolenic acid, perillaldehyde, limonene, menthol, eugenol, as well as various amino acids and trace elements."
Schisandra Tea,Plantae,Angiosperms,Magnoliopsida,Ranunculales,Magnoliaceae,Schisandra,Schisandra,"Contains schisandrin, deoxyschisandrin, vitamin C, resin, tannins, sugars, fatty oils, etc."
Wild Hawthorn Tea,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Crataegus,Wild Hawthorn,"Contains organic acids, vitamin C, flavonoids, pectin, trace elements, etc."
Elderflower Tea,Plantae,Angiosperms,Dicotyledons,Gentianales,Caprifoliaceae,Sambucus,Sambucus,"Contains flavonoids, phenolic acids, volatile oils, sugars, amino acids, etc."
Dandelion Tea,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Taraxacum,Taraxacum,"Contains vitamins A, C, and K, minerals, iron, calcium, folic acid, and taraxasterol, etc."
Wild Rose Hip Tea,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Rosa,Wild Rose,"Rich in vitamin C, vitamin A, iron, potassium, magnesium, calcium, and antioxidants, etc."
Blueberry Leaf Tea,Plantae,Angiosperms,Dicotyledons,Ericales,Ericaceae,Vaccinium,Blueberry,"Contains antioxidants, vitamins C, E, and K, manganese, dietary fiber, and flavonoids, etc."
Blackcurrant Leaf Tea,Plantae,Angiosperms,Dicotyledons,Rosales,Saxifragaceae,Ribes,Blackcurrant,"Contains vitamin C, calcium, iron, zinc, phosphorus, magnesium, potassium, and antioxidants."
Bee pollen drink,Plantae,Angiosperms,Dicotyledons,Multiple orders,Multiple families,Multiple genera,Multiple species,"Contains various nutrients, including protein, carbohydrates, vitamins, minerals, amino acids, enzymes, and coenzymes."
Pine pollen drink,Plantae,Angiosperms,Pinopsida,Pinales,Pinaceae,Pinus,Pine,"Rich in protein, essential amino acids, vitamins (such as vitamin A, C, D, E), and trace elements (such as zinc, iron, calcium, magnesium)."
Rapeseed pollen drink,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Rapeseed,"Contains various vitamins (such as vitamin C, E, K), minerals (such as calcium, iron, potassium), plant sterols, and long-chain fatty acids."
Corn Pollen Beverage,Plantae,Angiosperms,Monocotyledon,Poales,Poaceae,Zea,Maize,"Contains various vitamins (such as vitamin A, C, E), minerals (such as zinc, selenium), and amino acids."
Buckwheat Pollen Beverage,Plantae,Angiosperms,Dicotyledons,Polygonales,Polygonaceae,Fagopyrum,Buckwheat,"Rich in protein, lysine, dietary fiber, B vitamins, and minerals."
Sunflower Pollen Beverage,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Helianthus,Sunflower,"Contains various amino acids, vitamins (such as vitamin E, B group), minerals (such as potassium, calcium, iron), and unsaturated fatty acids."
Tea Pollen Beverage,Plantae,Angiosperms,Dicotyledons,Sapindales,Theaceae,Camellia,Tea,"Contains tea polyphenols, amino acids, vitamins (such as vitamin C), minerals (such as zinc, selenium), and caffeine."
Rose pollen beverage,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Rosa,Rose,"Contains various vitamins (such as vitamin C), minerals (such as calcium, iron), essential oils, and antioxidants."
Chrysanthemum powder beverage,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Chrysanthemum,Chrysanthemum,"Contains various active ingredients, such as chrysanthemum flavonoids, volatile oils, amino acids, and trace elements, with the effect of clearing heat and detoxifying."
Lemon leaf tea,Plantae,Angiosperms,Dicotyledons,Sapindales,Rutaceae,Citrus,Lemon,"Lemon leaves contain lemon oil, rich in vitamin C, vitamin P, calcium, phosphorus, iron, and other minerals, as well as bioactive substances such as limonin and flavonoids."
Stevia tea,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Stevia,Stevia,"Stevia leaves contain steviol glycosides, a low-calorie natural sweetener, as well as vitamins A, C, B vitamins, and minerals such as iron, calcium, and potassium."
Lemon balm tea,Plantae,Angiosperms,Dicotyledons,Asterales,Lamiaceae,Melissa,Lemon balm,"Lemon balm leaves contain volatile components such as citral, geraniol, and menthol, as well as various vitamins and minerals, with calming and anti-anxiety effects."
Guava Leaf Tea,Plantae,Angiosperms,Dicotyledons,Myrtales,Myrtaceae,Psidium,Guava,"Guava leaves contain various vitamins, minerals, dietary fiber, and antioxidants, such as vitamin C, potassium, calcium, magnesium, etc."
Birch Sap,Plantae,Angiosperms,Dicotyledons,Fagales,Betulaceae,Betula,Birch,"Birch sap contains various minerals (such as potassium, calcium, magnesium, manganese, etc.), vitamins (such as vitamin C, B vitamins), amino acids, antioxidants, and natural sugars. It is a natural energy drink containing bioactive substances unique to birch."
Bamboo Leaf Beverage,Plantae,Angiosperms,Monocotyledon,Poales,Poaceae,Bambusa,Various bamboo species,"Bamboo leaves contain various nutrients, including amino acids, vitamins, minerals (such as potassium, calcium, magnesium, etc.), antioxidants, and unique bioactive components such as bamboo leaf flavonoids."
Olive,Plantae,Angiosperms,Dicotyledons,Rosales,Oleaceae,Olea,Olive,"Olives contain vitamin E, antioxidants, monounsaturated fatty acids, dietary fiber, and trace elements such as calcium, iron, and magnesium."
Cucumber Juice,Plantae,Angiosperms,Dicotyledons,Violales,Cucurbitaceae,Cucumis,Cucumber,"Cucumber juice contains vitamins A, C, and K, minerals such as potassium, magnesium, and silicon, as well as water and dietary fiber."
Evening Primrose,Plantae,Angiosperms,Dicotyledons,Myrtales,Onagraceae,Oenothera,Evening Primrose,"Evening primrose contains gamma-linolenic acid (GLA), an important omega-6 series polyunsaturated fatty acid, as well as antioxidants, vitamins, and minerals."
Gourd Leaves,Plantae,Angiosperms,Dicotyledons,Violales,Cucurbitaceae,Lagenaria,Gourd,"Gourd leaves contain various vitamins, minerals, and dietary fiber, and have the effects of clearing heat, detoxifying, promoting urination, and reducing swelling."
Pine Needle Tea,Plantae,Angiosperms,Pinopsida,Pinales,Pinaceae,Pinus,Various Pine Species,"Pine needles contain various volatile oils, resins, vitamins, amino acids, minerals, and antioxidants."
Maple Sap,Plantae,Angiosperms,Dicotyledons,Rosales,Aceraceae,Acer,Maple,"Maple sap contains minerals (such as potassium, calcium, magnesium), sugars, amino acids, and various vitamins."
Eucommia tea,Plantae,Angiosperms,Dicotyledons,Rosales,Eucommiaceae,Eucommia,Eucommia,"Eucommia contains eucommia gum, flavonoids, amino acids, vitamins, and minerals."
Basil tea,Plantae,Angiosperms,Dicotyledons,Asterales,Lamiaceae,Ocimum,Basil,"Basil contains essential oils (such as eugenol, ocimene), flavonoids, vitamins, and minerals."
Toona sinensis leaves,Plantae,Angiosperms,Dicotyledons,Sapindales,Meliaceae,Toona,Toona sinensis,"Toona sinensis leaves contain protein, fat, carbohydrates, vitamins C, E, and B group, minerals, and dietary fiber."
Jujube leaves,Plantae,Angiosperms,Dicotyledons,Rhamnales,Rhamnaceae,Ziziphus,Ziziphus jujuba var. spinosa,"Ziziphus jujuba var. spinosa leaves contain alkaloids, flavonoids, amino acids, vitamins, and minerals. These components provide various potential health benefits, such as antioxidant, anti-inflammatory, and calming effects."
Loranthus tea,Plantae,Angiosperms,Dicotyledons,Santalales,Loranthaceae,Loranthus,Loranthus,"Loranthus contains flavonoids, phenols, amino acids, vitamins, and minerals, offering various medicinal values, including nourishing and antioxidant properties."
Kudzu root,Plantae,Angiosperms,Dicotyledons,Fabales,Fabaceae,Pueraria,Pueraria lobata,"Kudzu root is rich in starch, isoflavones (such as puerarin), dietary fiber, vitamins, and minerals, with effects such as antipyretic, hypoglycemic, and cardiovascular health improvement."
Coptis chinensis,Plantae,Angiosperms,Dicotyledons,Ranunculales,Ranunculaceae,Coptis,Coptis chinensis,"Coptis chinensis contains various alkaloids (such as berberine), flavonoids, phenols, etc., with significant antibacterial, anti-inflammatory, and heat-clearing detoxifying effects."
Polygonum multiflorum,Plantae,Angiosperms,Dicotyledons,Polygonales,Polygonaceae,Polygonum,Polygonum multiflorum,"Polygonum multiflorum contains various pharmacological active ingredients, including emodin, chrysophanol, rhein, and Polygonum multiflorum polysaccharides, etc. It has the effects of nourishing the liver and kidneys, blackening hair, and strengthening bones and muscles."
Mugwort,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Artemisia,Artemisia argyi,"Mugwort contains volatile oils (such as eucalyptol, camphor, etc.), flavonoids, vitamins, and minerals. It has the effects of warming the meridians to stop bleeding, dispelling cold, and removing dampness."
American Ginseng,Plantae,Angiosperms,Dicotyledons,Apiales,Araliaceae,Panax,Panax quinquefolius,"American ginseng contains ginsenosides, polysaccharides, amino acids, vitamins, and trace elements. It has the effects of enhancing immunity, anti-fatigue, and improving memory."
Echinacea,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Echinacea,Echinacea purpurea,"Echinacea contains inulin, polysaccharides, flavonoids, volatile oils, vitamins, and minerals. It has the effects of enhancing immunity, anti-inflammatory, and antiviral."
Mate,Plantae,Angiosperms,Dicotyledons,Lamiales,Aquifoliaceae,Ilex,Ilex paraguariensis,"Yerba mate contains caffeine, tannins, vitamins, minerals, and various amino acids, and has effects such as refreshing the mind, aiding digestion, and lowering cholesterol."
Rhodiola,Plantae,Angiosperms,Dicotyledons,Rosales,Crassulaceae,Rhodiola,Rhodiola rosea,"Rhodiola contains salidroside, flavonoids, polysaccharides, amino acids, vitamins, and minerals, and has effects such as anti-fatigue, improving endurance, and enhancing immunity."
Dendrobium,Plantae,Angiosperms,Monocotyledon,Microspermae,Orchidaceae,Dendrobium,Various Dendrobium species,"Dendrobium contains dendrobium polysaccharides, dendrobine, amino acids, and trace elements, and has effects such as enhancing immunity and anti-fatigue."
Oroxylum,Plantae,Angiosperms,Dicotyledons,Rosales,Bignoniaceae,Oroxylum,Oroxylum indicum,"Oroxylum contains various bioactive components such as oroxylin A, flavonoids, amino acids, and minerals, and has effects such as clearing heat, detoxifying, and moistening the lungs to relieve cough."
Anredera cordifolia,Plantae,Angiosperms,Dicotyledons,Dipsacales,Basellaceae,Anredera,Anredera cordifolia,"Anredera cordifolia contains flavonoids, steroidal saponins, polysaccharides, amino acids, and trace elements, and has effects such as lowering blood pressure, reducing blood lipids, and enhancing immunity."
Dracaena leaf,Plantae,Angiosperms,Liliopsida,Asparagales,Dracaenaceae,Dracaena,Dracaena,"Dracaena leaves contain dracorhodin, flavonoids, phenolic compounds, amino acids, and minerals, and have effects such as anti-inflammatory, antioxidant, and promoting wound healing."
Moringa leaf,Plantae,Angiosperms,Dicotyledons,Brassicales,Moringaceae,Moringa,Moringa,"Moringa leaves are rich in vitamins A, C, E, B vitamins, minerals (such as calcium, iron, potassium), proteins, and amino acids."
Cinchona,Plantae,Angiosperms,Dicotyledons,Gentianales,Rubiaceae,Cinchona,Cinchona,"Cinchona bark contains alkaloids such as quinine and cinchonine, which have antimalarial and antipyretic effects."
Baobab leaves,Plantae,Angiosperms,Dicotyledons,Malvales,Malvaceae,Adansonia,Adansonia digitata,"Baobab leaves contain minerals such as vitamin C, calcium, phosphorus, and iron, as well as dietary fiber."
Tamarind leaves,Plantae,Angiosperms,Dicotyledons,Rosales,Fabaceae,Tamarindus,Tamarindus indica,"Tamarind leaves contain various bioactive substances such as tamarindine, flavonoids, as well as vitamins and minerals."
Camphor leaf tea,Plantae,Angiosperms,Dicotyledons,Laurales,Lauraceae,Cinnamomum,Cinnamomum camphora,"Camphor leaves contain volatile oils (such as camphor and eucalyptol), flavonoids, vitamins, and minerals."
Wild grape leaves,Plantae,Angiosperms,Dicotyledons,Vitales,Vitaceae,Vitis,Wild Grape,"Wild grape leaves contain antioxidants, flavonoids, vitamins, and minerals."
Cornus Tea,Plantae,Angiosperms,Dicotyledons,Cornales,Cornaceae,Cornus,Cornus officinalis,"Cornus contains cornuside, ursolic acid, various amino acids, vitamins, and minerals."
Wild Papaya Leaf,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Carica,Wild Papaya,"Wild papaya leaves contain papain, carpaine, vitamin C, vitamin A, minerals, etc."
Carrot Juice,Plantae,Angiosperms,Dicotyledons,Apiales,Apiaceae,Daucus,Carrot,"Carrot juice is rich in vitamin A (beta-carotene), vitamin C, potassium, dietary fiber, and antioxidants."
Ginger Juice,Plantae,Angiosperms,Monocotyledon,Zingiberales,Zingiberaceae,Zingiber,Zingiber officinale,"Ginger juice contains gingerol, zingiberene, gingerol, vitamin C, minerals, and antioxidants."
Tomato,Plantae,Angiosperms,Dicotyledons,Solanales,Solanaceae,Solanum,Solanum lycopersicum,"Tomatoes are rich in vitamin C, carotene, potassium, folate, vitamin K, and the antioxidant lycopene."
Celery,Plantae,Angiosperms,Dicotyledons,Apiales,Apiaceae,Apium,Apium graveolens,"Celery contains a large amount of water, dietary fiber, vitamin K, vitamin C, potassium, calcium, phosphorus, and other minerals."
Broccoli,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Brassica oleracea var. italica,"Broccoli is rich in dietary fiber, vitamin C, vitamin K, vitamin A, calcium, iron, antioxidants, and more."
Sugarcane,Plantae,Angiosperms,Monocotyledon,Poales,Poaceae,Saccharum,Saccharum officinarum,"Sugarcane contains a large amount of sucrose, water, B vitamins, iron, calcium, phosphorus, potassium, and other minerals."
Bitter melon,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Momordica,Bitter melon,"Bitter melon contains vitamin C, potassium, dietary fiber, B vitamins, antioxidants, momordicin, etc."
Truffle tea,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Truffle,"Truffles contain various amino acids, proteins, vitamins, minerals, and unique aromatic compounds."
Usnea tea,Plantae,Angiosperms,Lecanoromycetes,Usneales,Usneaceae,Usnea,Usnea,"Usnea contains usnic acid, various vitamins, minerals, and antioxidants."
Prickly pear fruit,Plantae,Angiosperms,Dicotyledons,Cactales,Cactaceae,Cactus,Various cactus species,"Cactus fruit contains vitamin C, vitamin E, dietary fiber, potassium, calcium, and antioxidants."
Wild cherry leaf tea,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Prunus,Wild cherry,"Wild cherry leaves contain various vitamins, minerals, antioxidants, and flavonoids."
Wild strawberry leaf tea,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Fragaria,Wild strawberry,"Wild strawberry leaves contain various vitamins, minerals, antioxidants, and flavonoids."
Wild blackberry tea,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Rubus,Wild blackberry,"Wild blackberry leaves contain various vitamins, minerals, antioxidants, and flavonoids."
Wild blueberry tea,Plantae,Angiosperms,Dicotyledons,Ericales,Ericaceae,Vaccinium,Wild blueberry,"Wild blueberry leaves contain antioxidants, vitamins C, E, and K, manganese, dietary fiber, and flavonoids."
Raspberry Leaf,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Rubus,Raspberry,"Raspberry leaves contain various vitamins, minerals, antioxidants, and flavonoids."
Mulberry Leaf,Plantae,Angiosperms,Dicotyledons,Urticales,Moraceae,Morus,Morus alba,"Mulberry leaves contain various vitamins, minerals, antioxidants, and flavonoids."
Apple Juice,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Malus,Apple,"Apple juice is rich in vitamin C, vitamin K, antioxidants, dietary fiber, and minerals such as potassium."
Pear Juice,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Pyrus,Pear,"Pear juice contains various vitamins, minerals, dietary fiber, and antioxidants, and has the effect of moistening the lungs and clearing heat."
Cranberry Juice,Plantae,Angiosperms,Dicotyledons,Ericales,Ericaceae,Vaccinium,Cranberry,"Cranberry juice is rich in vitamin C, antioxidants, proanthocyanidins, and dietary fiber, and helps prevent urinary tract infections."
Loquat Juice,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Eriobotrya,Loquat,"Loquat juice contains vitamin A, C, potassium, antioxidants, and dietary fiber, and has the effect of moistening the lungs and relieving cough."
Peach juice,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Peach,Peach,"Peach juice is rich in vitamin A, C, E, potassium, antioxidants, and dietary fiber, which helps maintain cardiovascular health."
Plum juice,Plantae,Angiosperms,Dicotyledons,Rosales,Rosaceae,Plum,Plum,"Plum juice contains various vitamins, minerals, antioxidants, and dietary fiber, and has the effects of promoting digestion and antioxidant."
Pumpkin juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Pumpkin,Pumpkin,"Pumpkin juice is rich in vitamin A (carotene), vitamin C, potassium, dietary fiber, antioxidants such as β-carotene, lutein, and minerals, which helps maintain vision, enhance immunity, and promote digestive health."
Luffa juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Luffa,Luffa,"Luffa juice contains vitamin C, B vitamins, minerals (such as calcium, magnesium, phosphorus), and dietary fiber, and has the effects of clearing heat, detoxifying, diuresis, and reducing swelling."
Watermelon juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Citrullus,Watermelon,"Watermelon juice contains a large amount of water, vitamin A, vitamin C, antioxidants (such as lycopene and beta-carotene), amino acids, and minerals. It has the effects of clearing heat, relieving summer heat, and promoting diuresis."
Winter melon juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Benincasa,Winter melon,"Winter melon juice contains vitamin C, potassium, dietary fiber, and various trace elements. It helps with diuresis, clearing heat, and weight loss."
Chayote juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Sechium,Chayote,"Chayote juice contains vitamin C, potassium, calcium, magnesium, and dietary fiber. It has antioxidant properties and enhances immunity."
Spiny gourd juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Momordica,Spiny gourd,"Spiny gourd juice contains vitamin C, minerals, and dietary fiber. It has the effects of clearing heat, detoxifying, and promoting diuresis."
Snake gourd juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Trichosanthes,Snake gourd,"Snake gourd juice contains vitamin C, B vitamins, minerals, and dietary fiber. It has the effects of clearing heat, detoxifying, and promoting diuresis."
Cucumis melo juice,Plantae,Angiosperms,Dicotyledons,Cucurbitales,Cucurbitaceae,Pumpkin,Cucumis melo var. agrestis,"Cucumis melo var. agrestis juice contains vitamin A, C, potassium, dietary fiber, and antioxidants, which help enhance immunity and promote digestive health."
Cauliflower juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Cauliflower,"Cauliflower juice is rich in vitamin C, vitamin K, B vitamins, dietary fiber, antioxidants, and minerals."
Chinese kale juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Chinese kale,"Chinese kale juice contains vitamin A, C, K, dietary fiber, minerals, and antioxidants."
Chinese cabbage juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Chinese cabbage,"Chinese cabbage juice is rich in vitamin C, vitamin A, dietary fiber, potassium, and antioxidants."
Mustard green juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Mustard green,"Mustard green juice contains vitamin A, C, K, dietary fiber, minerals, and antioxidants."
Wasabi juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Wasabia,Wasabi,"Wasabi juice contains isothiocyanates, vitamin C, dietary fiber, and antioxidants."
Turnip Juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Turnip,"Turnip juice contains vitamin C, vitamin K, dietary fiber, minerals, and antioxidants."
Horseradish Juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Horseradish,Horseradish,"Horseradish juice contains isothiocyanates, vitamin C, dietary fiber, and antioxidants."
Burdock Tea,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Burdock,Burdock,"Burdock tea contains inulin, cellulose, protein, calcium, iron, vitamins A, B1, C, etc., and has the effects of promoting digestion and enhancing immunity."
Jerusalem Artichoke Tea,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Helianthus,Jerusalem Artichoke,"Jerusalem artichoke tea contains inulin, vitamins, minerals, and dietary fiber, which help regulate blood sugar and enhance physical strength."
Crown Daisy Tea,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Crown Daisy,Crown Daisy,"Crown Daisy tea contains vitamins A, C, K, calcium, iron, dietary fiber, and antioxidants, and has the effects of clearing heat, detoxifying, and lowering blood pressure."
Chamomile Tea,Plantae,Angiosperms,Dicotyledons,Asterales,Asteraceae,Matricaria,Chamomile,"Chamomile tea contains volatile oils, flavonoids, vitamins, and minerals, and has calming, anti-inflammatory, and sleep-promoting effects."
Cabbage Juice,Plantae,Angiosperms,Dicotyledons,Brassicales,Brassicaceae,Brassica,Cabbage,"Cabbage juice is rich in vitamin C, vitamin K, vitamin B6, folate, calcium, dietary fiber, and antioxidants, which help boost immunity and promote digestive health."
Chili Pepper Juice,Plantae,Angiosperms,Dicotyledons,Solanales,Solanaceae,Capsicum,Chili Pepper,"Chili pepper juice contains capsaicin, vitamin C, carotene, folate, and antioxidants, which enhance flavor and promote metabolism."
Physalis Juice,Plantae,Angiosperms,Dicotyledons,Solanales,Solanaceae,Physalis,Physalis,"Physalis juice contains vitamin C, carotene, minerals, and antioxidants, offering a sweet and sour taste and certain health benefits."
Bitter Melon Juice,Plantae,Angiosperms,Dicotyledons,Solanales,Solanaceae,Momordica,Bitter Melon,"Bitter melon juice contains alkaloids, vitamins, and minerals, but due to its bitterness and potential toxicity, it is not recommended for direct consumption or juicing."
