EntityA,EntityB,Relation
Agarwood,"Aquilaria, Gyrinops",belongs to
Agarwood,Dicotyledons,belongs to
Agarwood,Magnoliopsida,belongs to
Agarwood,Malvales,belongs to
Agarwood,Myrtales,belongs to
Agarwood,Plantae,belongs to
Agarwood,Thymelaeaceae,belongs to
Agarwood,Monoterpenes,contains
Agarwood,The main active ingredients are primarily composed of volatile oils (agarwood essential oil),contains
Agarwood,aliphatic compounds,contains
Agarwood,aromatic compounds,contains
Agarwood,benzylacetone,contains
Agarwood,chromones,contains
Agarwood,diterpenes,contains
Agarwood,flavonoids,contains
Agarwood,in addition to fatty acids,contains
Agarwood,other substances.,contains
Agarwood,phenolic acids,contains
Agarwood,sesquiterpenes,contains
Agarwood,sterols,contains
Agarwood,triterpenes,contains
Agastache,Agastache,belongs to
Agastache,Angiosperms,belongs to
Agastache,Lamiaceae,belongs to
Agastache,Lamiales,belongs to
Agastache,Magnoliopsida,belongs to
Agastache,Plantae,belongs to
Agastache,Volatile oils,contains
Agastache,etc.,contains
Agastache,flavonoids,contains
Agastache,terpenoids,contains
Ailanthus bark,Ailanthus,belongs to
Ailanthus bark,Ailanthus altissima,belongs to
Ailanthus bark,Angiosperms,belongs to
Ailanthus bark,Dicotyledons,belongs to
Ailanthus bark,Plantae,belongs to
Ailanthus bark,Sapindales,belongs to
Ailanthus bark,Simaroubaceae,belongs to
Ailanthus bark,Azadirachtin,contains
Ailanthus bark,fatty oils,contains
Ailanthus bark,tannins,contains
Albizia,Albizia,belongs to
Albizia,Fabaceae,belongs to
Albizia,Fabales,belongs to
Albizia,Magnoliopsida,belongs to
Albizia,Plantae,belongs to
Albizia,Tracheophyta,belongs to
Albizia,Flavonoids,contains
Albizia,etc.,contains
Albizia,polysaccharides,contains
Albizia,volatile oils,contains
Alfalfa,Angiosperms,belongs to
Alfalfa,Fabaceae,belongs to
Alfalfa,Magnoliopsida,belongs to
Alfalfa,Medicago,belongs to
Alfalfa,Plantae,belongs to
Alfalfa,Purple Alfalfa,belongs to
Alfalfa,Rosales,belongs to
Alfalfa,Alfalfa contains a wide variety of vitamins,contains
Alfalfa,VB2,contains
Alfalfa,VE,contains
Alfalfa,VK,contains
Alfalfa,biotin,contains
Alfalfa,carotene. It also contains various mineral elements such as calcium,contains
Alfalfa,chlorophyll,contains
Alfalfa,copper,contains
Alfalfa,especially high levels of folic acid,contains
Alfalfa,iron,contains
Alfalfa,lutein,contains
Alfalfa,magnesium,contains
Alfalfa,manganese.,contains
Alfalfa,phosphorus,contains
Alfalfa,potassium,contains
Alishan Camellia,Alishan Camellia,belongs to
Alishan Camellia,Angiosperms,belongs to
Alishan Camellia,Camellia,belongs to
Alishan Camellia,Magnoliopsida,belongs to
Alishan Camellia,Parietales,belongs to
Alishan Camellia,Plantae,belongs to
Alishan Camellia,Theaceae,belongs to
Alishan Camellia,Rich in tea polyphenols,contains
Alishan Camellia,amino acids,contains
Alishan Camellia,anti-aging,contains
Alishan Camellia,cardiovascular protection effects.,contains
Alishan Camellia,etc. It has antioxidant,contains
Alishan Camellia,vitamins,contains
Alisma,Alisma,belongs to
Alisma,Alismataceae,belongs to
Alisma,Alismatales,belongs to
Alisma,Angiosperms,belongs to
Alisma,Magnoliopsida,belongs to
Alisma,Plantae,belongs to
Alisma,diterpenoids,contains
Alisma,etc.,contains
Alisma,phenylpropanoids,contains
Alisma,sesquiterpenoids,contains
Alisma,sugars,contains
Alisma,triterpenoids,contains
Alisma,volatile oils,contains
Alligator snapping turtle,Animalia,belongs to
Alligator snapping turtle,Chelydridae,belongs to
Alligator snapping turtle,Chordata,belongs to
Alligator snapping turtle,Macrochelys,belongs to
Alligator snapping turtle,Macrochelys temminckii,belongs to
Alligator snapping turtle,Reptilia,belongs to
Alligator snapping turtle,Testudines,belongs to
Alligator snapping turtle,The protein content in alligator snapping turtle meat is as high as 19.6%,contains
Alligator snapping turtle,antioxidant effects,contains
Alligator snapping turtle,calcium,contains
Alligator snapping turtle,containing 18 types of amino acids,contains
Alligator snapping turtle,especially a high content of vitamin B6,contains
Alligator snapping turtle,have positive effects in cancer prevention,contains
Alligator snapping turtle,including essential amino acids for humans,contains
Alligator snapping turtle,iron,contains
Alligator snapping turtle,magnesium,contains
Alligator snapping turtle,phosphorus. Especially,contains
Alligator snapping turtle,potassium,contains
Alligator snapping turtle,preventing osteoporosis. The meat contains various vitamins,contains
Alligator snapping turtle,selenium,contains
Alligator snapping turtle,silicon,contains
Alligator snapping turtle,such as lysine,contains
Alligator snapping turtle,the calcium content in the carapace is particularly rich,contains
Alligator snapping turtle,treatment.,contains
Alligator snapping turtle,which has a positive effect on human health. The meat also contains high levels of trace elements such as iron,contains
Alligator snapping turtle,which help in blood replenishment,contains
Alligator snapping turtle,which is particularly abundant. The meat is rich in mineral elements such as sodium,contains
Alligator snapping turtle,which is significant for maintaining bone health,contains
Alligator snapping turtle,zinc,contains
Allium macrostemon,Allium,belongs to
Allium macrostemon,Allium macrostemon,belongs to
Allium macrostemon,Amaryllidaceae,belongs to
Allium macrostemon,Angiosperms,belongs to
Allium macrostemon,Asparagales,belongs to
Allium macrostemon,Magnoliopsida,belongs to
Allium macrostemon,Plantae,belongs to
Allium macrostemon,calcium,contains
Allium macrostemon,carbohydrates,contains
Allium macrostemon,dietary fiber,contains
Allium macrostemon,fat,contains
Allium macrostemon,iron,contains
Allium macrostemon,phosphorus,contains
Allium macrostemon,protein,contains
Allspice,Angiosperms,belongs to
Allspice,Magnoliopsida,belongs to
Allspice,Myrtaceae,belongs to
Allspice,Myrtales,belongs to
Allspice,Pimenta,belongs to
Allspice,Pimenta dioica,belongs to
Allspice,Plantae,belongs to
Allspice,B1,contains
Allspice,B2,contains
Allspice,C,contains
Allspice,Eugenol,contains
Allspice,Fat,contains
Allspice,Protein,contains
Allspice,Vitamins A,contains
Allspice,etc.,contains
Allspice,various minerals,contains
Almond,Almond,belongs to
Almond,Angiosperms,belongs to
Almond,Dicotyledons,belongs to
Almond,Magnoliopsida,belongs to
Almond,Plantae,belongs to
Almond,Plum,belongs to
Almond,Prunus,belongs to
Almond,Rosaceae,belongs to
Almond,Rosales,belongs to
Almond,B vitamins,contains
Almond,Fat,contains
Almond,Rich in fat,contains
Almond,carbohydrates,contains
Almond,etc.,contains
Almond,fiber,contains
Almond,minerals,contains
Almond,minerals.,contains
Almond,protein,contains
Almond,vitamin E,contains
Almond,vitamins,contains
Aloe Vera,Aloe,belongs to
Aloe Vera,Aloe Vera,belongs to
Aloe Vera,Angiosperms,belongs to
Aloe Vera,Asparagales,belongs to
Aloe Vera,Liliaceae,belongs to
Aloe Vera,Monocotyledon,belongs to
Aloe Vera,Plantae,belongs to
Aloe Vera,Contains vitamin C,contains
Aloe Vera,antioxidants.,contains
Aloe Vera,calcium,contains
Aloe Vera,vitamin E,contains
Alpaca,Alpaca,belongs to
Alpaca,Animalia,belongs to
Alpaca,Artiodactyla,belongs to
Alpaca,Camelidae,belongs to
Alpaca,Chordata,belongs to
Alpaca,Mammalia,belongs to
Alpaca,Vicugna,belongs to
Alpaca,High protein content in muscles,contains
Alpaca,VB,contains
Alpaca,VC,contains
Alpaca,VD,contains
Alpaca,VE,contains
Alpaca,cholesterol-free,contains
Alpaca,contains various vitamins (such as VA,contains
Alpaca,especially lysine. Low fat,contains
Alpaca,etc.).,contains
Alpaca,phosphorus,contains
Alpaca,reaching 25%,contains
Alpaca,rich in 17 amino acids,contains
Alpaca,selenium,contains
Alpaca,sodium,contains
Alpaca,suitable for slightly overweight individuals. Rich in potassium,contains
Alpine Berry,Alpine Berry,belongs to
Alpine Berry,Angiosperms,belongs to
Alpine Berry,Dicotyledons,belongs to
Alpine Berry,Plantae,belongs to
Alpine Berry,Rosaceae,belongs to
Alpine Berry,Rosales,belongs to
Alpine Berry,Rubus,belongs to
Alpine Berry,Alpine berries are rich in vitamin C,contains
Alpine Berry,antioxidants,contains
Alpine Berry,dietary fiber,contains
Alpine Berry,etc.,contains
Alpinia oxyphylla,Alpinia,belongs to
Alpinia oxyphylla,Alpinia oxyphylla,belongs to
Alpinia oxyphylla,Angiosperms,belongs to
Alpinia oxyphylla,Monocotyledon,belongs to
Alpinia oxyphylla,Plantae,belongs to
Alpinia oxyphylla,Zingiberaceae,belongs to
Alpinia oxyphylla,Zingiberales,belongs to
Alpinia oxyphylla,B vitamins,contains
Alpinia oxyphylla,Volatile oils,contains
Alpinia oxyphylla,calcium,contains
Alpinia oxyphylla,diphenylheptanes,contains
Alpinia oxyphylla,etc.,contains
Alpinia oxyphylla,fatty acids,contains
Alpinia oxyphylla,flavonoids,contains
Alpinia oxyphylla,magnesium,contains
Alpinia oxyphylla,phenolic acids,contains
Alpinia oxyphylla,phenols,contains
Alpinia oxyphylla,phosphorus,contains
Alpinia oxyphylla,sesquiterpenes,contains
Alpinia oxyphylla,sterols,contains
Alpinia oxyphylla,various minerals such as potassium,contains
Alpinia oxyphylla,vitamin C,contains
Altai Wapiti,Altai Wapiti,belongs to
Altai Wapiti,Animalia,belongs to
Altai Wapiti,Artiodactyla,belongs to
Altai Wapiti,Cervidae,belongs to
Altai Wapiti,Cervus,belongs to
Altai Wapiti,Chordata,belongs to
Altai Wapiti,Mammalia,belongs to
Altai Wapiti,Venison contains relatively rich protein,contains
Altai Wapiti,about 1.92%. Venison also contains a certain amount of inorganic salts,contains
Altai Wapiti,sugars,contains
Altai Wapiti,vitamins.,contains
Altai Wapiti,with a content of about 19.77%. The fat content of venison is relatively low,contains
Amaranth,Amaranthaceae,belongs to
Amaranth,Amaranthus,belongs to
Amaranth,Angiosperms,belongs to
Amaranth,Caryophyllales,belongs to
Amaranth,Magnoliopsida,belongs to
Amaranth,Plantae,belongs to
Amaranth,Rich in vitamin A,contains
Amaranth,calcium,contains
Amaranth,iron.,contains
Amaranth,vitamin C,contains
American Ginseng,Angiosperms,belongs to
American Ginseng,Apiales,belongs to
American Ginseng,Araliaceae,belongs to
American Ginseng,Dicotyledons,belongs to
American Ginseng,Panax,belongs to
American Ginseng,Panax quinquefolius,belongs to
American Ginseng,Plantae,belongs to
American Ginseng,American ginseng contains ginsenosides,contains
American Ginseng,amino acids,contains
American Ginseng,anti-fatigue,contains
American Ginseng,improving memory.,contains
American Ginseng,polysaccharides,contains
American Ginseng,trace elements. It has the effects of enhancing immunity,contains
American Ginseng,vitamins,contains
American Walnut,American Walnut,belongs to
American Walnut,Angiosperms,belongs to
American Walnut,Juglandaceae,belongs to
American Walnut,Juglandales,belongs to
American Walnut,Juglans,belongs to
American Walnut,Magnoliopsida,belongs to
American Walnut,Plantae,belongs to
American Walnut,Rich in oils,contains
American Walnut,especially ω-3,contains
American Walnut,minerals,contains
American Walnut,proteins,contains
American Walnut,vitamin E.,contains
American Walnut,ω-6 fatty acids,contains
Amomum,Amomum,belongs to
Amomum,Angiosperms,belongs to
Amomum,Magnoliopsida,belongs to
Amomum,Plantae,belongs to
Amomum,Zingiberaceae,belongs to
Amomum,Zingiberales,belongs to
Amomum,Carbohydrates,contains
Amomum,dietary fiber,contains
Amomum,etc.,contains
Amomum,fats,contains
Amomum,minerals,contains
Amomum,proteins,contains
Amomum,vitamins,contains
Amomum,volatile oils,contains
Amomum tsao-ko,Amomum,belongs to
Amomum tsao-ko,Amomum tsao-ko,belongs to
Amomum tsao-ko,Angiosperms,belongs to
Amomum tsao-ko,Magnoliopsida,belongs to
Amomum tsao-ko,Plantae,belongs to
Amomum tsao-ko,Zingiberaceae,belongs to
Amomum tsao-ko,Zingiberales,belongs to
Amomum tsao-ko,Contains dietary fiber,contains
Amomum tsao-ko,calcium,contains
Amomum tsao-ko,etc.,contains
Amomum tsao-ko,protein,contains
Amomum tsao-ko,vitamin A,contains
Amomum tsao-ko,vitamin C,contains
Amur sturgeon,Acipenser,belongs to
Amur sturgeon,Acipenseridae,belongs to
Amur sturgeon,Acipenseriformes,belongs to
Amur sturgeon,Amur sturgeon,belongs to
Amur sturgeon,Animalia,belongs to
Amur sturgeon,Chordata,belongs to
Amur sturgeon,Osteichthyes,belongs to
Amur sturgeon,EPA (eicosapentaenoic acid),contains
Amur sturgeon,Very rich in protein,contains
Amur sturgeon,approximately 16.1% to 18.1%,contains
Amur sturgeon,cerebrovascular health,contains
Amur sturgeon,containing various essential amino acids for the human body,contains
Amur sturgeon,helping to soften blood vessels,contains
Amur sturgeon,improve memory.,contains
Amur sturgeon,including DHA (docosahexaenoic acid),contains
Amur sturgeon,including lysine,contains
Amur sturgeon,isoleucine,contains
Amur sturgeon,known as 'brain gold',contains
Amur sturgeon,leucine,contains
Amur sturgeon,methionine,contains
Amur sturgeon,phenylalanine,contains
Amur sturgeon,promote brain development,contains
Amur sturgeon,threonine,contains
Amur sturgeon,tryptophan,contains
Amur sturgeon,valine. It is also rich in highly unsaturated fatty acids,contains
Amur sturgeon,which are very beneficial for cardiovascular,contains
Andean Walnut,Andean Walnut,belongs to
Andean Walnut,Angiosperms,belongs to
Andean Walnut,Dicotyledons,belongs to
Andean Walnut,Juglandaceae,belongs to
Andean Walnut,Juglandales,belongs to
Andean Walnut,Juglans,belongs to
Andean Walnut,Plantae,belongs to
Andean Walnut,Rich in oils,contains
Andean Walnut,especially high in ω-3,contains
Andean Walnut,minerals,contains
Andean Walnut,proteins,contains
Andean Walnut,ω-6 fatty acids.,contains
Anemarrhena,Anemarrhena,belongs to
Anemarrhena,Angiosperms,belongs to
Anemarrhena,Asparagaceae,belongs to
Anemarrhena,Asparagales,belongs to
Anemarrhena,Magnoliopsida,belongs to
Anemarrhena,Plantae,belongs to
Anemarrhena,Mainly steroidal saponins,contains
Anemarrhena,alkaloids,contains
Anemarrhena,also containing phenylpropanoids,contains
Anemarrhena,etc.,contains
Anemarrhena,flavonoids,contains
Anemarrhena,organic acids,contains
Angelica,Angelica,belongs to
Angelica,Angiosperms,belongs to
Angelica,Apiaceae,belongs to
Angelica,Apiales,belongs to
Angelica,Dicotyledons,belongs to
Angelica,Plantae,belongs to
Angelica,Proteins,contains
Angelica,Rich in starch,contains
Angelica,dietary fiber,contains
Angelica,edible uses.,contains
Angelica,etc.,contains
Angelica,flavonoids,contains
Angelica,minerals,contains
Angelica,polyphenols,contains
Angelica,various medicinal components. It is a plant with both medicinal,contains
Angelica,vitamins,contains
Angelica dahurica,Angelica,belongs to
Angelica dahurica,Angelica dahurica,belongs to
Angelica dahurica,Apiaceae,belongs to
Angelica dahurica,Apiales,belongs to
Angelica dahurica,Plantae,belongs to
Angelica dahurica,Tracheophyta,belongs to
Angelica dahurica,Protein,contains
Angelica dahurica,dietary fiber,contains
Angelica dahurica,etc.,contains
Angelica dahurica,flavonoids,contains
Angelica dahurica,minerals,contains
Angelica dahurica,polyphenols,contains
Angelica dahurica,vitamins,contains
Angelica sinensis,Angelica,belongs to
Angelica sinensis,Angelica sinensis,belongs to
Angelica sinensis,Angiosperms,belongs to
Angelica sinensis,Apiaceae,belongs to
Angelica sinensis,Apiales,belongs to
Angelica sinensis,Dicotyledons,belongs to
Angelica sinensis,Magnoliopsida,belongs to
Angelica sinensis,Plantae,belongs to
Angelica sinensis,Includes volatile oils,contains
Angelica sinensis,Sucrose,contains
Angelica sinensis,arginine,contains
Angelica sinensis,butene,contains
Angelica sinensis,cis-apigenin,contains
Angelica sinensis,coumarin compounds,contains
Angelica sinensis,etc.,contains
Angelica sinensis,ferulic acid,contains
Angelica sinensis,lactones,contains
Angelica sinensis,nicotinic acid,contains
Angelica sinensis,phenolic compounds,contains
Angelica sinensis,sesquiterpenoids,contains
Angelica sinensis,terpenoids,contains
Angelica sinensis,various amino acids,contains
Angelica sinensis,vitamin A,contains
Angelica sinensis,vitamin E,contains
Angelica sinensis,volatile oils,contains
Anredera cordifolia,Angiosperms,belongs to
Anredera cordifolia,Anredera,belongs to
Anredera cordifolia,Anredera cordifolia,belongs to
Anredera cordifolia,Basellaceae,belongs to
Anredera cordifolia,Dicotyledons,belongs to
Anredera cordifolia,Dipsacales,belongs to
Anredera cordifolia,Plantae,belongs to
Anredera cordifolia,Anredera cordifolia contains flavonoids,contains
Anredera cordifolia,amino acids,contains
Anredera cordifolia,enhancing immunity.,contains
Anredera cordifolia,has effects such as lowering blood pressure,contains
Anredera cordifolia,polysaccharides,contains
Anredera cordifolia,reducing blood lipids,contains
Anredera cordifolia,steroidal saponins,contains
Anredera cordifolia,trace elements,contains
Ant,Animalia,belongs to
Ant,Ant,belongs to
Ant,Arthropoda,belongs to
Ant,Formica,belongs to
Ant,Formicidae,belongs to
Ant,Hymenoptera,belongs to
Ant,Insecta,belongs to
Ant,B12,contains
Ant,B2,contains
Ant,C,contains
Ant,D,contains
Ant,E,contains
Ant,Very high protein content,contains
Ant,adenosine triphosphate (ATP),contains
Ant,containing various essential amino acids for the human body,contains
Ant,etc. Ants contain more than 20 trace elements such as calcium,contains
Ant,formic acid,contains
Ant,including 28 free amino acids. Ants are rich in vitamins,contains
Ant,including B1,contains
Ant,iron,contains
Ant,manganese,contains
Ant,phosphorus,contains
Ant,reaching 120-198 mg per kilogram. Ants also contain triterpenoids,contains
Ant,selenium,contains
Ant,various bioactive substances such as interleukin-2.,contains
Ant,with particularly high zinc content,contains
Ant,zinc,contains
Antidesma montanum,Angiosperms,belongs to
Antidesma montanum,Antidesma,belongs to
Antidesma montanum,Euphorbiaceae,belongs to
Antidesma montanum,Magnoliopsida,belongs to
Antidesma montanum,Malpighiales,belongs to
Antidesma montanum,Plantae,belongs to
Antidesma montanum,It grows in sparse forests at altitudes of 140-1500 meters. The leaves of Antidesma can be used to make a bath or drink,contains
Antidesma montanum,diseases,contains
Antidesma montanum,promoting health,contains
Antidesma montanum,well-being.,contains
Antidesma montanum,which is believed to ward off evil spirits,contains
Apocynum venetum,Angiosperms,belongs to
Apocynum venetum,Apocynaceae,belongs to
Apocynum venetum,Apocynum,belongs to
Apocynum venetum,Apocynum venetum,belongs to
Apocynum venetum,Gentianales,belongs to
Apocynum venetum,Magnoliopsida,belongs to
Apocynum venetum,Plantae,belongs to
Apocynum venetum,Apocynin,contains
Apocynum venetum,K-strophanthin-β,contains
Apocynum venetum,This species is a widely distributed wild fiber plant in China. The stem bark fibers are long,contains
Apocynum venetum,alanine,contains
Apocynum venetum,anthraquinone,contains
Apocynum venetum,anti-inflammatory,contains
Apocynum venetum,aviation,contains
Apocynum venetum,catechin,contains
Apocynum venetum,fishing nets,contains
Apocynum venetum,flexible,contains
Apocynum venetum,fragrant flowers with a long blooming period,contains
Apocynum venetum,fried,contains
Apocynum venetum,glutamic acid,contains
Apocynum venetum,heart-strengthening effects. The white,contains
Apocynum venetum,high-end raincoats. The leaves contain 4-5% gum,contains
Apocynum venetum,high-quality paper. They are also used in national defense,contains
Apocynum venetum,isoquercitrin,contains
Apocynum venetum,leather threads,contains
Apocynum venetum,lustrous,contains
Apocynum venetum,machine transmission belts,contains
Apocynum venetum,making it a good source of nectar.,contains
Apocynum venetum,making them suitable for high-end clothing,contains
Apocynum venetum,maritime,contains
Apocynum venetum,potassium nitride,contains
Apocynum venetum,quercetin,contains
Apocynum venetum,resistant to decay,contains
Apocynum venetum,rolled to make tea,contains
Apocynum venetum,rubber boats,contains
Apocynum venetum,rutin,contains
Apocynum venetum,silky seed hairs can be used as filling material. The peeled stems can be used as insulating building materials. The roots contain alkaloids for medicinal use. The plant has many beautiful,contains
Apocynum venetum,strophanthidin,contains
Apocynum venetum,tension,contains
Apocynum venetum,tire cord fabric,contains
Apocynum venetum,valine,contains
Apocynum venetum,wear,contains
Apocynum venetum,well-developed nectaries,contains
Apocynum venetum,which has cooling,contains
Apocynum venetum,which is used as a raw material for tires. The young leaves can be steamed,contains
Apple Juice,Angiosperms,belongs to
Apple Juice,Apple,belongs to
Apple Juice,Dicotyledons,belongs to
Apple Juice,Malus,belongs to
Apple Juice,Plantae,belongs to
Apple Juice,Rosaceae,belongs to
Apple Juice,Rosales,belongs to
Apple Juice,Apple juice is rich in vitamin C,contains
Apple Juice,antioxidants,contains
Apple Juice,dietary fiber,contains
Apple Juice,minerals such as potassium.,contains
Apple Juice,vitamin K,contains
Apple Pollen,Angiosperms,belongs to
Apple Pollen,Apple,belongs to
Apple Pollen,Dicotyledons,belongs to
Apple Pollen,Malus,belongs to
Apple Pollen,Plantae,belongs to
Apple Pollen,Rosaceae,belongs to
Apple Pollen,Rosales,belongs to
Apple Pollen,Contains various vitamins,contains
Apple Pollen,amino acids,contains
Apple Pollen,anti-aging.,contains
Apple Pollen,relieving cough,contains
