EntityA,EntityB,Relation
Alfalfa,Alfalfa contains a wide variety of vitamins,contains
Alfalfa,VB2,contains
Alfalfa,VE,contains
Alfalfa,VK,contains
Alfalfa,biotin,contains
Alfalfa,carotene. It also contains various mineral elements such as calcium,contains
Alfalfa,chlorophyll,contains
Alfalfa,copper,contains
Alfalfa,especially high levels of folic acid,contains
Alfalfa,iron,contains
Alfalfa,lutein,contains
Alfalfa,magnesium,contains
Alfalfa,manganese.,contains
Alfalfa,phosphorus,contains
Alfalfa,potassium,contains
Alishan Camellia,Rich in tea polyphenols,contains
Alishan Camellia,amino acids,contains
Alishan Camellia,anti-aging,contains
Alishan Camellia,cardiovascular protection effects.,contains
Alishan Camellia,etc. It has antioxidant,contains
Alishan Camellia,vitamins,contains
Alisma,diterpenoids,contains
Alisma,etc.,contains
Alisma,phenylpropanoids,contains
Alisma,sesquiterpenoids,contains
Alisma,sugars,contains
Alisma,triterpenoids,contains
Alisma,volatile oils,contains
Alligator snapping turtle,The protein content in alligator snapping turtle meat is as high as 19.6%,contains
Alligator snapping turtle,antioxidant effects,contains
Alligator snapping turtle,calcium,contains
Alligator snapping turtle,containing 18 types of amino acids,contains
Alligator snapping turtle,especially a high content of vitamin B6,contains
Alligator snapping turtle,have positive effects in cancer prevention,contains
Alligator snapping turtle,including essential amino acids for humans,contains
Alligator snapping turtle,iron,contains
Alligator snapping turtle,magnesium,contains
Alligator snapping turtle,phosphorus. Especially,contains
Alligator snapping turtle,potassium,contains
Alligator snapping turtle,preventing osteoporosis. The meat contains various vitamins,contains
Alligator snapping turtle,selenium,contains
Alligator snapping turtle,silicon,contains
Alligator snapping turtle,such as lysine,contains
Alligator snapping turtle,the calcium content in the carapace is particularly rich,contains
Alligator snapping turtle,treatment.,contains
Alligator snapping turtle,which has a positive effect on human health. The meat also contains high levels of trace elements such as iron,contains
Alligator snapping turtle,which help in blood replenishment,contains
Alligator snapping turtle,which is particularly abundant. The meat is rich in mineral elements such as sodium,contains
Alligator snapping turtle,which is significant for maintaining bone health,contains
Alligator snapping turtle,zinc,contains
Allium macrostemon,calcium,contains
Allium macrostemon,carbohydrates,contains
Allium macrostemon,dietary fiber,contains
Allium macrostemon,fat,contains
Allium macrostemon,iron,contains
Allium macrostemon,phosphorus,contains
Allium macrostemon,protein,contains
Allspice,B1,contains
Allspice,B2,contains
Allspice,C,contains
Allspice,Eugenol,contains
Allspice,Fat,contains
Allspice,Protein,contains
Allspice,Vitamins A,contains
Allspice,etc.,contains
Allspice,various minerals,contains
Almond,B vitamins,contains
Almond,Fat,contains
Almond,Rich in fat,contains
Almond,carbohydrates,contains
Almond,etc.,contains
Almond,fiber,contains
Almond,minerals,contains
Almond,minerals.,contains
Almond,protein,contains
Almond,vitamin E,contains
Almond,vitamins,contains
Aloe Vera,Contains vitamin C,contains
Aloe Vera,antioxidants.,contains
Aloe Vera,calcium,contains
Aloe Vera,vitamin E,contains
Alpaca,High protein content in muscles,contains
Alpaca,VB,contains
Alpaca,VC,contains
Alpaca,VD,contains
Alpaca,VE,contains
Alpaca,cholesterol-free,contains
Alpaca,contains various vitamins (such as VA,contains
Alpaca,especially lysine. Low fat,contains
Alpaca,etc.).,contains
Alpaca,phosphorus,contains
Alpaca,reaching 25%,contains
Alpaca,rich in 17 amino acids,contains
Alpaca,selenium,contains
Alpaca,sodium,contains
Alpaca,suitable for slightly overweight individuals. Rich in potassium,contains
Alpine Berry,Alpine berries are rich in vitamin C,contains
Alpine Berry,antioxidants,contains
Alpine Berry,dietary fiber,contains
Alpine Berry,etc.,contains
Alpinia oxyphylla,B vitamins,contains
Alpinia oxyphylla,Volatile oils,contains
Alpinia oxyphylla,calcium,contains
Alpinia oxyphylla,diphenylheptanes,contains
Alpinia oxyphylla,etc.,contains
Alpinia oxyphylla,fatty acids,contains
Alpinia oxyphylla,flavonoids,contains
Alpinia oxyphylla,magnesium,contains
Alpinia oxyphylla,phenolic acids,contains
Alpinia oxyphylla,phenols,contains
Alpinia oxyphylla,phosphorus,contains
Alpinia oxyphylla,sesquiterpenes,contains
Alpinia oxyphylla,sterols,contains
Alpinia oxyphylla,various minerals such as potassium,contains
Alpinia oxyphylla,vitamin C,contains
Altai Wapiti,Venison contains relatively rich protein,contains
Altai Wapiti,about 1.92%. Venison also contains a certain amount of inorganic salts,contains
Altai Wapiti,sugars,contains
Altai Wapiti,vitamins.,contains
Altai Wapiti,with a content of about 19.77%. The fat content of venison is relatively low,contains
Amaranth,Rich in vitamin A,contains
Amaranth,calcium,contains
Amaranth,iron.,contains
Amaranth,vitamin C,contains
American Ginseng,American ginseng contains ginsenosides,contains
American Ginseng,amino acids,contains
American Ginseng,anti-fatigue,contains
American Ginseng,improving memory.,contains
American Ginseng,polysaccharides,contains
American Ginseng,trace elements. It has the effects of enhancing immunity,contains
American Ginseng,vitamins,contains
American Walnut,Rich in oils,contains
American Walnut,especially ω-3,contains
American Walnut,minerals,contains
American Walnut,proteins,contains
American Walnut,vitamin E.,contains
American Walnut,ω-6 fatty acids,contains
Amomum,Carbohydrates,contains
Amomum,dietary fiber,contains
Amomum,etc.,contains
Amomum,fats,contains
Amomum,minerals,contains
Amomum,proteins,contains
Amomum,vitamins,contains
Amomum,volatile oils,contains
Amomum tsao-ko,Contains dietary fiber,contains
Amomum tsao-ko,calcium,contains
Amomum tsao-ko,etc.,contains
Amomum tsao-ko,protein,contains
Amomum tsao-ko,vitamin A,contains
Amomum tsao-ko,vitamin C,contains
Amur sturgeon,EPA (eicosapentaenoic acid),contains
Amur sturgeon,Very rich in protein,contains
Amur sturgeon,approximately 16.1% to 18.1%,contains
Amur sturgeon,cerebrovascular health,contains
Amur sturgeon,containing various essential amino acids for the human body,contains
Amur sturgeon,helping to soften blood vessels,contains
Amur sturgeon,improve memory.,contains
Amur sturgeon,including DHA (docosahexaenoic acid),contains
Amur sturgeon,including lysine,contains
Amur sturgeon,isoleucine,contains
Amur sturgeon,known as 'brain gold',contains
Amur sturgeon,leucine,contains
Amur sturgeon,methionine,contains
Amur sturgeon,phenylalanine,contains
Amur sturgeon,promote brain development,contains
Amur sturgeon,threonine,contains
Amur sturgeon,tryptophan,contains
Amur sturgeon,valine. It is also rich in highly unsaturated fatty acids,contains
Amur sturgeon,which are very beneficial for cardiovascular,contains
Andean Walnut,Rich in oils,contains
Andean Walnut,especially high in ω-3,contains
Andean Walnut,minerals,contains
Andean Walnut,proteins,contains
Andean Walnut,ω-6 fatty acids.,contains
Anemarrhena,Mainly steroidal saponins,contains
Anemarrhena,alkaloids,contains
Anemarrhena,also containing phenylpropanoids,contains
Anemarrhena,etc.,contains
Anemarrhena,flavonoids,contains
Anemarrhena,organic acids,contains
Angelica,Proteins,contains
Angelica,Rich in starch,contains
Angelica,dietary fiber,contains
Angelica,edible uses.,contains
Angelica,etc.,contains
Angelica,flavonoids,contains
Angelica,minerals,contains
Angelica,polyphenols,contains
Angelica,various medicinal components. It is a plant with both medicinal,contains
Angelica,vitamins,contains
Angelica dahurica,Protein,contains
Angelica dahurica,dietary fiber,contains
Angelica dahurica,etc.,contains
Angelica dahurica,flavonoids,contains
Angelica dahurica,minerals,contains
Angelica dahurica,polyphenols,contains
Angelica dahurica,vitamins,contains
Angelica sinensis,Includes volatile oils,contains
Angelica sinensis,Sucrose,contains
Angelica sinensis,arginine,contains
Angelica sinensis,butene,contains
Angelica sinensis,cis-apigenin,contains
Angelica sinensis,coumarin compounds,contains
Angelica sinensis,etc.,contains
Angelica sinensis,ferulic acid,contains
Angelica sinensis,lactones,contains
Angelica sinensis,nicotinic acid,contains
Angelica sinensis,phenolic compounds,contains
Angelica sinensis,sesquiterpenoids,contains
Angelica sinensis,terpenoids,contains
Angelica sinensis,various amino acids,contains
Angelica sinensis,vitamin A,contains
Angelica sinensis,vitamin E,contains
Angelica sinensis,volatile oils,contains
Anredera cordifolia,Anredera cordifolia contains flavonoids,contains
Anredera cordifolia,amino acids,contains
Anredera cordifolia,enhancing immunity.,contains
Anredera cordifolia,has effects such as lowering blood pressure,contains
Anredera cordifolia,polysaccharides,contains
Anredera cordifolia,reducing blood lipids,contains
Anredera cordifolia,steroidal saponins,contains
Anredera cordifolia,trace elements,contains
Ant,B12,contains
Ant,B2,contains
Ant,C,contains
Ant,D,contains
Ant,E,contains
Ant,Very high protein content,contains
Ant,adenosine triphosphate (ATP),contains
Ant,containing various essential amino acids for the human body,contains
Ant,etc. Ants contain more than 20 trace elements such as calcium,contains
Ant,formic acid,contains
Ant,including 28 free amino acids. Ants are rich in vitamins,contains
Ant,including B1,contains
Ant,iron,contains
Ant,manganese,contains
Ant,phosphorus,contains
Ant,reaching 120-198 mg per kilogram. Ants also contain triterpenoids,contains
Ant,selenium,contains
Ant,various bioactive substances such as interleukin-2.,contains
Ant,with particularly high zinc content,contains
Ant,zinc,contains
Antidesma montanum,It grows in sparse forests at altitudes of 140-1500 meters. The leaves of Antidesma can be used to make a bath or drink,contains
Antidesma montanum,diseases,contains
Antidesma montanum,promoting health,contains
Antidesma montanum,well-being.,contains
Antidesma montanum,which is believed to ward off evil spirits,contains
Apocynum venetum,Apocynin,contains
Apocynum venetum,K-strophanthin-β,contains
Apocynum venetum,This species is a widely distributed wild fiber plant in China. The stem bark fibers are long,contains
Apocynum venetum,alanine,contains
Apocynum venetum,anthraquinone,contains
Apocynum venetum,anti-inflammatory,contains
Apocynum venetum,aviation,contains
Apocynum venetum,catechin,contains
Apocynum venetum,fishing nets,contains
Apocynum venetum,flexible,contains
Apocynum venetum,fragrant flowers with a long blooming period,contains
Apocynum venetum,fried,contains
Apocynum venetum,glutamic acid,contains
Apocynum venetum,heart-strengthening effects. The white,contains
Apocynum venetum,high-end raincoats. The leaves contain 4-5% gum,contains
Apocynum venetum,high-quality paper. They are also used in national defense,contains
Apocynum venetum,isoquercitrin,contains
Apocynum venetum,leather threads,contains
Apocynum venetum,lustrous,contains
Apocynum venetum,machine transmission belts,contains
Apocynum venetum,making it a good source of nectar.,contains
Apocynum venetum,making them suitable for high-end clothing,contains
Apocynum venetum,maritime,contains
Apocynum venetum,potassium nitride,contains
Apocynum venetum,quercetin,contains
Apocynum venetum,resistant to decay,contains
Apocynum venetum,rolled to make tea,contains
Apocynum venetum,rubber boats,contains
Apocynum venetum,rutin,contains
Apocynum venetum,silky seed hairs can be used as filling material. The peeled stems can be used as insulating building materials. The roots contain alkaloids for medicinal use. The plant has many beautiful,contains
Apocynum venetum,strophanthidin,contains
Apocynum venetum,tension,contains
Apocynum venetum,tire cord fabric,contains
Apocynum venetum,valine,contains
Apocynum venetum,wear,contains
Apocynum venetum,well-developed nectaries,contains
Apocynum venetum,which has cooling,contains
Apocynum venetum,which is used as a raw material for tires. The young leaves can be steamed,contains
Apple Juice,Apple juice is rich in vitamin C,contains
Apple Juice,antioxidants,contains
Apple Juice,dietary fiber,contains
Apple Juice,minerals such as potassium.,contains
Apple Juice,vitamin K,contains
Apple Pollen,Contains various vitamins,contains
Apple Pollen,amino acids,contains
Apple Pollen,anti-aging.,contains
Apple Pollen,relieving cough,contains
Apple Pollen,with effects of moistening the lungs,contains
Apricot Pollen,Rich in vitamin C,contains
Apricot Pollen,promoting bowel movements.,contains
Apricot Pollen,with effects of beautifying the skin,contains
Apricot Pollen,β-carotene,contains
Arisaema,Alkaloids,contains
Arisaema,fatty acids,contains
Arisaema,flavonoids,contains
Arisaema,lignans,contains
Arisaema,phenols,contains
Arisaema,sterols,contains
Aristolochia,Aristolochic acid,contains
Aristolochia,magnoflorine,contains
Aristolochia,β-sitosterol,contains
Aronia Berry,Aronia berries are rich in vitamins,contains
Aronia Berry,assist in improving anemia,contains
Aronia Berry,carbohydrates,contains
Aronia Berry,dietary fiber,contains
Aronia Berry,minerals,contains
Aronia Berry,other nutrients,contains
Aronia Berry,promote digestion,contains
Aronia Berry,protect the heart.,contains
Aronia Berry,protect vision,contains
Aronia Berry,protein,contains
Aronia Berry,which help supplement nutrition,contains
Arrowhead,Contains carbohydrates,contains
Arrowhead,fiber,contains
Arrowhead,potassium,contains
Arrowhead,vitamin C.,contains
Artemisia annua,Coumarins,contains
Artemisia annua,Diterpenes,contains
Artemisia annua,Flavonoids,contains
Artemisia annua,Phenylpropanoids,contains
Artemisia annua,Sesquiterpenes,contains
Artemisia annua,Volatile Oils,contains
Artemisia anomala,Contains volatile oils,contains
Artemisia anomala,aiding digestion. It is used in folk medicine to treat intestinal,contains
Artemisia anomala,amino acids,contains
Artemisia anomala,can be brewed as a tea for its cooling,contains
Artemisia anomala,clearing heat,contains
Artemisia anomala,detoxifying,contains
Artemisia anomala,etc. The whole plant is used medicinally. In southeastern provinces,contains
Artemisia anomala,gynecological diseases. In recent years,contains
Artemisia anomala,heat-clearing properties.,contains
Artemisia anomala,it has also been used to treat filariasis,contains
Artemisia anomala,it is known as 'Liu Ji Nu' or 'Nan Liu Ji Nu'. It has effects such as promoting blood circulation,contains
Artemisia anomala,mainly flavonoids,contains
Artemisia anomala,phenols,contains
Artemisia anomala,reducing inflammation,contains
Artemisia anomala,regulating menstruation,contains
Artemisia anomala,relieving pain,contains
Artemisia anomala,stomach,contains
Artemisia capillaris,Capillarin,contains
Artemisia capillaris,Capillene,contains
Artemisia capillaris,Capillin,contains
Artemisia capillaris,β-Pinene,contains
Artemisia japonica,1,contains
Artemisia japonica,8-Cineole,contains
Artemisia japonica,Artemisia Ketone,contains
Artemisia japonica,Cubebene,contains
Artemisia japonica,Piperitenone,contains
Artemisia japonica,α-Thujone,contains
Artemisia selengensis,Rich in vitamin C,contains
Artemisia selengensis,calcium,contains
Artemisia selengensis,fiber,contains
Artemisia selengensis,potassium.,contains
Artichoke,Rich in vitamin C,contains
Artichoke,fiber,contains
Artichoke,iron,contains
Artichoke,magnesium.,contains
Asian Blue Lobster,B vitamins such as vitamin B1,contains
Asian Blue Lobster,Rich in protein,contains
Asian Blue Lobster,as well as minerals such as phosphorus,contains
Asian Blue Lobster,calcium,contains
Asian Blue Lobster,containing abundant vitamin E,contains
Asian Blue Lobster,iron,contains
Asian Blue Lobster,low in fat,contains
Asian Blue Lobster,magnesium,contains
Asian Blue Lobster,niacin,contains
Asian Blue Lobster,potassium,contains
Asian Blue Lobster,vitamin B2,contains
Asian Blue Lobster,zinc,contains
Asian Wild Elephant,Besides containing protein,contains
Asian Wild Elephant,actin,contains
Asian Wild Elephant,actomyosin,contains
Asian Wild Elephant,albumin,contains
Asian Wild Elephant,carbohydrates (such as glycogen),contains
Asian Wild Elephant,hemoglobin. The vitamins it contains are much richer than those in the meat of general warm-blooded animals.,contains
Asian Wild Elephant,inorganic salts. The triglycerides in fat tissue contain a very high level of palmitic acid. The main proteins include myosin,contains
Asian Wild Elephant,it also has fat,contains
Asian Wild Elephant,myoglobin,contains
Asian Wild Elephant,non-protein nitrogenous substances (such as creatine),contains
Asian Wild Elephant,organic acids,contains
Asian Wild Elephant,tropomyoglobin,contains
Asian swamp eel,Cholesterol: 126mg,contains
Asian swamp eel,Fat: 1.4g,contains
Asian swamp eel,Protein: 18.0g,contains
Asian swamp eel,Selenium: 34.6μg,contains
Asian swamp eel,Sodium: 70mg,contains
Asparagus,Calcium.,contains
Asparagus,Potassium,contains
Asparagus,Rich in Fiber,contains
Asparagus,Rich in fiber,contains
Asparagus,Rich in vitamin A,contains
Asparagus,Vitamin C,contains
Asparagus,folic acid.,contains
Asparagus,potassium.,contains
Asparagus,vitamin A,contains
Asparagus,vitamin C,contains
Asparagus,vitamin K,contains
Asparagus cochinchinensis,Steroidal saponins,contains
Asparagus cochinchinensis,amino acids,contains
Asparagus cochinchinensis,etc.,contains
Asparagus cochinchinensis,oligosaccharides,contains
Asparagus cochinchinensis,polysaccharides,contains
Astragalus,Polysaccharides,contains
Astragalus,carotene,contains
Astragalus,etc.,contains
Astragalus,iron,contains
Astragalus,proteins,contains
Astragalus,vitamin C,contains
Astragalus,zinc,contains
Atractylodes macrocephala,Volatile oils,contains
Atractylodes macrocephala,amino acids,contains
Atractylodes macrocephala,flavonoids,contains
Atractylodes macrocephala,polysaccharides,contains
Atractylodes macrocephala,saponins,contains
Atractylodes macrocephala,trace elements,contains
Atractylodes macrocephala,vitamins,contains
Atyopsis spinipes,B1,contains
Atyopsis spinipes,B2,contains
Atyopsis spinipes,E,contains
Atyopsis spinipes,Rich in protein,contains
Atyopsis spinipes,but also contains abundant taurine,contains
Atyopsis spinipes,iodine,contains
Atyopsis spinipes,magnesium,contains
Atyopsis spinipes,niacin.,contains
Atyopsis spinipes,phosphorus. It also contains vitamins A,contains
Atyopsis spinipes,which helps reduce serum cholesterol in humans. It is rich in trace elements such as potassium,contains
Atyopsis spinipes,with high cholesterol content,contains
Avocado,The seed kernel is rich in fat,contains
Avocado,can also be used to make margarine.,contains
Avocado,industrial oil,contains
Avocado,serving as an important edible oil,contains
Avocado Fruit,Avocados contain nutrients such as protein,contains
Avocado Fruit,calcium,contains
Avocado Fruit,carbohydrates,contains
Avocado Fruit,fat,contains
Avocado Fruit,fiber,contains
Avocado Fruit,iron,contains
Avocado Fruit,magnesium,contains
Avocado Fruit,more.,contains
Avocado Fruit,phosphorus,contains
Avocado Fruit,potassium,contains
Avocado Fruit,sodium,contains
Avocado Fruit,vitamin B6,contains
Avocado Fruit,vitamin C,contains
Avocado Fruit,vitamin E,contains
Avocado Fruit,vitamin K,contains
Avocado Fruit,zinc,contains
Axillary Hair Berchemia,The roots,contains
Axillary Hair Berchemia,abscesses. Additionally,contains
Axillary Hair Berchemia,acute,contains
Axillary Hair Berchemia,branches can be used to make nose rings for cattle.,contains
Axillary Hair Berchemia,chronic bronchitis,contains
Axillary Hair Berchemia,dysentery,contains
Axillary Hair Berchemia,dysmenorrhea,contains
Axillary Hair Berchemia,fractures,contains
Axillary Hair Berchemia,jaundice,contains
Axillary Hair Berchemia,or leaves can be used medicinally. They have effects such as dispelling wind,contains
Axillary Hair Berchemia,phlegm. They are mainly used to treat rheumatic joint pain,contains
Axillary Hair Berchemia,postpartum abdominal pain,contains
Axillary Hair Berchemia,promoting blood circulation,contains
Axillary Hair Berchemia,promoting diuresis,contains
Axillary Hair Berchemia,relieving cough,contains
Axillary Hair Berchemia,relieving pain,contains
Axillary Hair Berchemia,stems,contains
Axillary Hair Berchemia,traumatic injuries,contains
Axillary Hair Berchemia,tuberculosis,contains
Axillary Hair Berchemia,young leaves can be used as a tea substitute,contains
Azalea Fruit,No specific nutritional information available.,contains
Badger,B vitamins,contains
Badger,Contains nutrients such as protein,contains
Badger,calcium,contains
Badger,etc.,contains
Badger,iron,contains
Badger,vitamin E,contains
Bai Liang Jin,The roots,contains
Bai Liang Jin,abscesses,contains
Bai Liang Jin,bone tuberculosis,contains
Bai Liang Jin,cough with blood from overwork,contains
Bai Liang Jin,injuries. They are also used to treat turbid urine,contains
Bai Liang Jin,leaves have the effects of clearing heat,contains
Bai Liang Jin,nephritis edema,contains
Bai Liang Jin,promoting blood circulation. They are used to treat sore throat,contains
Bai Liang Jin,relaxing tendons,contains
Bai Liang Jin,rheumatism,contains
Bai Liang Jin,snake bites. The fruit is edible,contains
Bai Liang Jin,soothing the throat,contains
Bai Liang Jin,the seeds can be pressed for oil.,contains
Bai Liang Jin,tonsillitis,contains
Bailingshan Red Camellia,Generally contains tea polyphenols,contains
Bailingshan Red Camellia,amino acids,contains
Bailingshan Red Camellia,anti-inflammatory,contains
Bailingshan Red Camellia,beauty-enhancing effects.,contains
Bailingshan Red Camellia,cardiovascular protection,contains
Bailingshan Red Camellia,etc. It has antioxidant,contains
Bailingshan Red Camellia,minerals,contains
Bailingshan Red Camellia,vitamins,contains
Bald Tea,Contains tea polyphenols,contains
Bald Tea,amino acids,contains
Bald Tea,blood pressure-lowering effects.,contains
Bald Tea,caffeine,contains
Bald Tea,digestive,contains
Bald Tea,etc. Has antioxidant,contains
Bald Tea,minerals,contains
Bald Tea,refreshing,contains
Bald-stemmed Camellia,Contains tea polyphenols,contains
Bald-stemmed Camellia,amino acids,contains
Bald-stemmed Camellia,caffeine,contains
Bald-stemmed Camellia,digestive,contains
Bald-stemmed Camellia,etc. Has antioxidant,contains
Bald-stemmed Camellia,lipid-lowering effects.,contains
Bald-stemmed Camellia,minerals,contains
Bald-stemmed Camellia,refreshing,contains
Bamboo Leaf Beverage,Bamboo leaves contain various nutrients,contains
Bamboo Leaf Beverage,antioxidants,contains
Bamboo Leaf Beverage,calcium,contains
Bamboo Leaf Beverage,etc.),contains
Bamboo Leaf Beverage,including amino acids,contains
Bamboo Leaf Beverage,magnesium,contains
Bamboo Leaf Beverage,minerals (such as potassium,contains
Bamboo Leaf Beverage,unique bioactive components such as bamboo leaf flavonoids.,contains
Bamboo Leaf Beverage,vitamins,contains
Bamboo Leaf Red Camellia,Rich in tea polyphenols,contains
Bamboo Leaf Red Camellia,amino acids,contains
Bamboo Leaf Red Camellia,anti-aging,contains
Bamboo Leaf Red Camellia,cardiovascular protection effects.,contains
Bamboo Leaf Red Camellia,etc. It has antioxidant,contains
Bamboo Leaf Red Camellia,vitamins,contains
Bamboo Shoots,B vitamins,contains
Bamboo Shoots,Rich in fiber,contains
Bamboo Shoots,calcium.,contains
Bamboo Shoots,potassium,contains
Bamboo Shoots,protein,contains
Bamboo Worm,Bamboo worms contain protein,contains
Bamboo Worm,carbohydrates,contains
Bamboo Worm,fat,contains
Bamboo Worm,phosphorus.,contains
Bamboo Worm,potassium,contains
Bamboo Worm,unsaturated fatty acids,contains
Bamboo Worm,various vitamins such as vitamin E,contains
Bamboo Worm,vitamin B2. They also contain minerals like calcium,contains
Bamboo Worm,vitamin K,contains
Bamboo rat,Nutritional components include crude protein 57.78%,contains
Bamboo rat,amino acids. The content of lysine,contains
Bamboo rat,are also rich in phosphorus,contains
Bamboo rat,ash 17.36%,contains
Bamboo rat,calcium,contains
Bamboo rat,crude fat 20.54%,contains
Bamboo rat,crude fiber 0.84%,contains
Bamboo rat,leucine,contains
Bamboo rat,livestock.,contains
Bamboo rat,methionine is higher than that of common poultry,contains
Bamboo rat,moisture 3.84%,contains
Bamboo rat,vitamin E,contains
Baobab leaves,Baobab leaves contain minerals such as vitamin C,contains
Baobab leaves,as well as dietary fiber.,contains
Baobab leaves,calcium,contains
Baobab leaves,iron,contains
Baobab leaves,phosphorus,contains
Baobab nut,Rich in starch,contains
Baobab nut,especially vitamin C,contains
Baobab nut,fat,contains
Baobab nut,iron.,contains
Baobab nut,minerals,contains
Baobab nut,minerals such as calcium,contains
Baobab nut,protein,contains
Basil,Polyphenols,contains
Basil,etc.,contains
Basil,flavonoids,contains
Basil,phenolic acids,contains
Basil,phenols,contains
Basil tea,Basil contains essential oils (such as eugenol,contains
Basil tea,flavonoids,contains
Basil tea,minerals.,contains
Basil tea,ocimene),contains
Basil tea,vitamins,contains
Bay Laurel,Energy,contains
Bay Laurel,carbohydrates (sugar),contains
Bay Laurel,dietary fiber,contains
Bay Laurel,etc.,contains
Bay Laurel,fat,contains
Bay Laurel,protein,contains
Bay Laurel,sodium,contains
Bay Laurel,vitamins,contains
Beaked Walnut,Rich in oils,contains
Beaked Walnut,growing conditions.,contains
Beaked Walnut,minerals,contains
Beaked Walnut,proteins,contains
Beaked Walnut,specific composition may vary depending on the variety,contains
Beaked Walnut,vitamins,contains
Bean Pear,carbohydrates,contains
Bean Pear,energy,contains
Bean Pear,fat,contains
Bean Pear,including water,contains
Bean Pear,minerals.,contains
Bean Pear,protein,contains
Bean Pear,vitamins,contains
Bean moth larva,The nutritional components of bean moth larvae include a crude protein content of 65.5%,contains
