实体A,实体B,关系,
橄榄,橄榄科,属于,
橄榄,橄榄属,属于,
橄榄,橄榄,属于,
橄榄,橄榄含有维生素E,含有,
橄榄,抗氧化物质,含有,
橄榄,单不饱和脂肪酸,含有,
橄榄,膳食纤维,含有,
橄榄,微量元素如钙,含有,
橄榄,铁和镁。,含有,
黄瓜汁,植物界,属于,
黄瓜汁,被子植物门,属于,
黄瓜汁,双子叶植物纲,属于,
黄瓜汁,堇菜目,属于,
黄瓜汁,葫芦科,属于,
黄瓜汁,黄瓜属,属于,
黄瓜汁,黄瓜,属于,
黄瓜汁,黄瓜汁含有维生素A,含有,
黄瓜汁,维生素C和K,含有,
黄瓜汁,钾,含有,
黄瓜汁,镁,含有,
黄瓜汁,硅,含有,
黄瓜汁,水分和膳食纤维。,含有,
月见草,植物界,属于,
月见草,被子植物门,属于,
月见草,双子叶植物纲,属于,
月见草,桃金娘目,属于,
月见草,柳叶菜科,属于,
月见草,月见草属,属于,
月见草,月见草,属于,
月见草,月见草含有γ-亚麻酸（GLA）,含有,
月见草,这是一种重要的ω-6系列多不饱和脂肪酸,含有,
月见草,抗氧化物质,含有,
月见草,维生素和矿物质。,含有,
葫芦叶,植物界,属于,
葫芦叶,被子植物门,属于,
葫芦叶,双子叶植物纲,属于,
葫芦叶,堇菜目,属于,
葫芦叶,葫芦科,属于,
葫芦叶,葫芦属,属于,
葫芦叶,葫芦,属于,
葫芦叶,葫芦叶含有多种维生素,含有,
葫芦叶,矿物质和膳食纤维,含有,
葫芦叶,具有清热解毒,含有,
葫芦叶,利尿消肿的功效。,含有,
松针茶,植物界,属于,
松针茶,被子植物门,属于,
松针茶,松柏纲,属于,
松针茶,松柏目,属于,
松针茶,松科,属于,
松针茶,松属,属于,
松针茶,多种松种,属于,
松针茶,松针含有多种挥发油,含有,
松针茶,树脂,含有,
松针茶,维生素,含有,
松针茶,氨基酸,含有,
松针茶,矿物质和抗氧化物质。,含有,
枫树汁,植物界,属于,
枫树汁,被子植物门,属于,
枫树汁,双子叶植物纲,属于,
枫树汁,蔷薇目,属于,
枫树汁,槭树科,属于,
枫树汁,槭属,属于,
枫树汁,枫树,属于,
枫树汁,枫树汁含有矿物质（如钾,含有,
枫树汁,钙,含有,
枫树汁,镁）,含有,
枫树汁,糖分,含有,
枫树汁,氨基酸和多种维生素。,含有,
杜仲茶,植物界,属于,
杜仲茶,被子植物门,属于,
杜仲茶,双子叶植物纲,属于,
杜仲茶,蔷薇目,属于,
杜仲茶,杜仲科,属于,
杜仲茶,杜仲属,属于,
杜仲茶,杜仲,属于,
杜仲茶,杜仲含有杜仲胶,含有,
杜仲茶,黄酮类化合物,含有,
杜仲茶,氨基酸,含有,
杜仲茶,维生素和矿物质。,含有,
罗勒茶,植物界,属于,
罗勒茶,被子植物门,属于,
罗勒茶,双子叶植物纲,属于,
罗勒茶,管状花目,属于,
罗勒茶,唇形科,属于,
罗勒茶,罗勒属,属于,
罗勒茶,罗勒,属于,
罗勒茶,罗勒含有挥发油（如丁香油酚,含有,
罗勒茶,罗勒烯）,含有,
罗勒茶,黄酮类化合物,含有,
罗勒茶,维生素和矿物质。,含有,
香椿叶,植物界,属于,
香椿叶,被子植物门,属于,
香椿叶,双子叶植物纲,属于,
香椿叶,无患子目,属于,
香椿叶,楝科,属于,
香椿叶,香椿属,属于,
香椿叶,香椿,属于,
香椿叶,香椿叶含有蛋白质,含有,
香椿叶,脂肪,含有,
香椿叶,碳水化合物,含有,
香椿叶,维生素C,含有,
香椿叶,E和B群,含有,
香椿叶,矿物质和膳食纤维。,含有,
酸枣叶,植物界,属于,
酸枣叶,被子植物门,属于,
酸枣叶,双子叶植物纲,属于,
酸枣叶,鼠李目,属于,
酸枣叶,鼠李科,属于,
酸枣叶,枣属,属于,
酸枣叶,酸枣,属于,
酸枣叶,酸枣叶含有生物碱,含有,
酸枣叶,黄酮类化合物,含有,
酸枣叶,氨基酸,含有,
酸枣叶,维生素和矿物质,含有,
酸枣叶,如抗氧化,含有,
酸枣叶,抗炎和安神,含有,
桑寄生茶,植物界,属于,
桑寄生茶,被子植物门,属于,
桑寄生茶,双子叶植物纲,属于,
桑寄生茶,檀香目,属于,
桑寄生茶,桑寄生科,属于,
桑寄生茶,桑寄生属,属于,
桑寄生茶,桑寄生,属于,
桑寄生茶,桑寄生含有黄酮类化合物,含有,
桑寄生茶,酚类,含有,
桑寄生茶,氨基酸,含有,
桑寄生茶,维生素和矿物质,含有,
桑寄生茶,具有多种药用价值,含有,
桑寄生茶,包括滋补强身和抗氧化。,含有,
葛根,植物界,属于,
葛根,被子植物门,属于,
葛根,双子叶植物纲,属于,
葛根,豆目,属于,
葛根,蝶形花科,属于,
葛根,葛属,属于,
葛根,葛,属于,
葛根,葛根含有丰富的淀粉,含有,
葛根,异黄酮类化合物（如葛根素）,含有,
葛根,膳食纤维,含有,
葛根,维生素和矿物质,含有,
葛根,具有解热,含有,
葛根,降血糖和改善心血管健康的功效。,含有,
黄连,植物界,属于,
黄连,被子植物门,属于,
黄连,双子叶植物纲,属于,
黄连,毛茛目,属于,
黄连,毛茛科,属于,
黄连,黄连属,属于,
黄连,黄连,属于,
黄连,黄连含有多种生物碱（如小檗碱）,含有,
黄连,黄酮类化合物,含有,
黄连,酚类,含有,
黄连,具有显著的抗菌,含有,
黄连,抗炎和清热解毒作用。,含有,
何首乌,植物界,属于,
何首乌,被子植物门,属于,
何首乌,双子叶植物纲,属于,
何首乌,蓼目,属于,
何首乌,蓼科,属于,
何首乌,何首乌属,属于,
何首乌,何首乌,属于,
何首乌,何首乌含有多种药理活性成分,含有,
何首乌,包括大黄酚,含有,
何首乌,大黄素,含有,
何首乌,大黄酸,含有,
何首乌,何首乌多糖,含有,
何首乌,具有滋补肝肾,含有,
何首乌,乌发,含有,
何首乌,强筋骨,含有,
艾草,植物界,属于,
艾草,被子植物门,属于,
艾草,双子叶植物纲,属于,
艾草,菊目,属于,
艾草,菊科,属于,
艾草,艾属,属于,
艾草,艾,属于,
艾草,艾草含有挥发油（如桉树脑,含有,
艾草,樟脑,含有,
艾草,黄酮类化合物,含有,
艾草,维生素和矿物质,含有,
艾草,具有温经止血,含有,
艾草,驱寒,含有,
艾草,祛湿,含有,
洋参,植物界,属于,
洋参,被子植物门,属于,
洋参,双子叶植物纲,属于,
洋参,伞形目,属于,
洋参,五加科,属于,
洋参,人参属,属于,
洋参,西洋参,属于,
洋参,洋参含有人参皂苷,含有,
洋参,多糖,含有,
洋参,氨基酸,含有,
